feature_set,protocol,split,split_seed,model,n_train,n_test,train_prevalence,test_prevalence,test_files,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier,clean_balanced_accuracy,clean_roc_auc,clean_fpr,clean_recall,clean_f1_macro,clean_n
shared18,file_disjoint,file_disjoint,102,tree,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36456,457,23048,39,0.9917333333333334,0.9897443443441868,0.9876195378322,0.998931360460337,0.9932432432432432,0.9912988194238196,0.9827042040537428,0.0194426717719634,0.0010686395396629,0.9805573282280364,0.9963033176239432,0.9952339678699542,0.9939332751335485,0.0180066975511728,0.9897443443441868,0.9963033176239432,0.0194426717719634,0.998931360460337,0.9912988194238196,60000
shared18,file_disjoint,file_disjoint,102,rf,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36453,419,23086,42,0.9923166666666666,0.9905115814747814,0.9886363636363636,0.9988491574188244,0.9937165210516988,0.9919154088971744,0.983917503350994,0.0178259944692618,0.0011508425811755,0.9821740055307382,0.997873637027612,0.9976115802486948,0.9956945136740656,0.0182043108367774,0.9905115814747814,0.997873637027612,0.0178259944692618,0.9988491574188244,0.9919154088971744,60000
shared18,file_disjoint,file_disjoint,102,xgboost,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36434,413,23092,61,0.9921,0.9903789042619592,0.9887914891307298,0.9983285381559116,0.9935371274303946,0.9916890489481692,0.9834536199466368,0.0175707296319931,0.0016714618440882,0.9824292703680068,0.9978501564396214,0.9975977255944832,0.9956629284193348,0.0176507364958524,0.9903789042619592,0.9978501564396214,0.0175707296319931,0.9983285381559116,0.9916890489481692,60000
shared18,file_disjoint,file_disjoint,102,hgb,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36440,413,23092,55,0.9922,0.9904611073034718,0.9887933139771524,0.9984929442389368,0.9936194579265964,0.9917938668352008,0.9836658683445698,0.0175707296319931,0.0015070557610631,0.9824292703680068,0.9978642445592651,0.9976155299629283,0.9956675714530604,0.0179148510974929,0.9904611073034718,0.9978642445592651,0.0175707296319931,0.9984929442389368,0.9917938668352008,60000
shared18,file_disjoint,file_disjoint,102,mlp,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36381,478,23027,114,0.9901333333333332,0.98827009286006,0.987031661195366,0.9968762844225236,0.9919295471276276,0.9896191061968372,0.9793188097187356,0.0203360987024037,0.0031237155774763,0.9796639012975964,0.9968495473047668,0.9969378236106744,0.9954500103446668,0.0311334207653999,0.98827009286006,0.9968495473047668,0.0203360987024037,0.9968762844225236,0.9896191061968372,60000
shared18,random,random,103,majority,240000,60000,0.608025,0.607,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,36420,23580,0,0,0.607,0.5,0.607,1.0,0.7554449284380834,0.3777224642190417,0.0,1.0,0.0,0.0,0.5,0.607,0.393,0.393,0.5,0.5,1.0,1.0,0.4414117418916953,46088
shared18,random,random,103,stratified,240000,60000,0.608025,0.607,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,22167,14252,9328,14253,0.5249166666666667,0.5021192882584158,0.6086658063098932,0.6086490939044481,0.6086574499924491,0.5021192722704554,0.0042385448333702,0.6044105173876166,0.3913509060955519,0.3955894826123833,0.5021192882584158,0.6080138915011368,0.3940177357678489,0.4750833333333333,0.5016249193146568,0.5016249193146568,0.6053992552751345,0.6086490939044481,0.481541283901043,46088
shared18,random,random,103,logreg,240000,60000,0.608025,0.607,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,28126,8362,15218,8294,0.7224,0.7088227115655212,0.7708287656215742,0.7722679846238331,0.7715477039556702,0.7089285279312879,0.4178590200216501,0.3546225614927905,0.2277320153761669,0.6453774385072095,0.8178591836173862,0.8627992998857579,0.7597037220805103,0.1556477040834664,0.8623958872229633,0.9687169505336648,0.0474762101779064,0.7722679846238331,0.7716019426923364,46088
shared18,random,random,103,tree,240000,60000,0.608025,0.607,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29499,7294,16286,6921,0.7630833333333333,0.7503185552215949,0.801755768760362,0.8099670510708402,0.8058404928086542,0.7510083905469308,0.5020798693801342,0.3093299406276505,0.1900329489291598,0.6906700593723495,0.8648431065753934,0.8909292389725999,0.8012379732796753,0.1385378266271588,0.8951055776661607,0.9895324044379948,0.0197558957385188,0.8099670510708402,0.8097879342691787,46088
shared18,random,random,103,rf,240000,60000,0.608025,0.607,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,31608,9985,13595,4812,0.7533833333333333,0.722211358018481,0.7599355660808309,0.8678747940691928,0.8103264840475305,0.7289539391443025,0.4706916467904647,0.4234520780322307,0.1321252059308072,0.5765479219677693,0.8441485427760846,0.8868835602600481,0.7859602372100375,0.152186969827496,0.9246283362153992,0.9903798277440344,0.0186181216383947,0.8678747940691928,0.8592672002735996,46088
shared18,random,random,103,xgboost,240000,60000,0.608025,0.607,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29473,7251,16329,6947,0.7633666666666666,0.750873398141278,0.8025541879969502,0.8092531576057111,0.8058897517226293,0.7514381317943861,0.5029181573097281,0.3075063613231552,0.1907468423942888,0.6924936386768448,0.8651008292426637,0.8931704029123476,0.8089702729538057,0.1384200304746627,0.8949554989518005,0.99006589189425,0.01934215970211,0.8092531576057111,0.8093323608267777,46088
shared18,random,random,103,hgb,240000,60000,0.608025,0.607,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29490,7269,16311,6930,0.76335,0.7507251070001802,0.8022525095894882,0.8097199341021417,0.8059689255114172,0.7513537842140285,0.5027596817370801,0.3082697201017811,0.1902800658978583,0.6917302798982188,0.8651754330194474,0.8931758977171808,0.8087686499181671,0.1382993657029077,0.8956026232364246,0.9903867247646576,0.0185146876292925,0.8097199341021417,0.8099608594344183,46088
shared18,random,random,103,mlp,240000,60000,0.608025,0.607,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29469,7271,16309,6951,0.7629666666666667,0.7503943950489973,0.8020958083832336,0.8091433278418452,0.8056041552761072,0.7509873893374558,0.502021178380764,0.3083545377438507,0.1908566721581548,0.6916454622561493,0.8642511460395844,0.8927523134063587,0.8079408237460141,0.1380866914987564,0.8938662439788456,0.9886621344848872,0.0214108398841539,0.8091433278418452,0.8086198936516211,46088
shared18,file_disjoint,file_disjoint,103,majority,240000,60000,0.5672833333333334,0.835,"7,9,12,19",0.5,50100,9900,0,0,0.835,0.5,0.835,1.0,0.9100817438692098,0.4550408719346049,0.0,1.0,0.0,0.0,0.5,0.835,0.165,0.165,0.5,0.5,1.0,1.0,0.4550408719346049,60000
shared18,file_disjoint,file_disjoint,103,stratified,240000,60000,0.5672833333333334,0.835,"7,9,12,19",0.5,28312,5584,4316,21788,0.5438,0.5005346881993589,0.8352607977342459,0.5651097804391217,0.6741273393971141,0.45693923907973694,0.0008006437158525038,0.564040404040404,0.43489021956087826,0.43595959595959594,0.5005346881993589,0.8351473793503387,0.16514763571974728,0.4562,0.5005346881993589,0.5005346881993589,0.564040404040404,0.5651097804391217,0.45693923907973694,60000
