feature_set,protocol,split,split_seed,model,n_train,n_test,train_prevalence,test_prevalence,test_files,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
shared18,random,random,102,rf,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,31604,9904,13699,4793,0.75505,0.7243528227681844,0.7613953936590536,0.8683133225265819,0.8113471535844939,0.731104150494587,0.47470093256121315,0.4196076769902131,0.13168667747341814,0.5803923230097869,0.8448383600420464,0.8872425434896651,0.7876107422443543,0.15120615249325733
shared18,random,random,102,xgboost,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29467,7130,16473,6930,0.7656666666666667,0.753759724122778,0.8051752875918791,0.809599692282331,0.8073814286105707,0.7541353383958269,0.5082888434308469,0.30208024403677497,0.19040030771766903,0.697919755963225,0.8663889236389837,0.8939883926046635,0.8110846592523052,0.1382056027650833
shared18,random,random,102,hgb,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29465,7140,16463,6932,0.7654666666666666,0.7535204118526129,0.8049446796885671,0.809544742698574,0.8072381578586888,0.753910580695377,0.5078408062281651,0.30250391899334833,0.19045525730142593,0.6974960810066517,0.8668410284807175,0.8940213309814542,0.81132114703183,0.13802872315290066
shared18,random,random,102,mlp,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29435,7161,16442,6962,0.7646166666666666,0.7526634312700342,0.8043228768171384,0.8087204989422205,0.8065156932856575,0.753035539326897,0.5060890359637766,0.3033936364021523,0.1912795010577795,0.6966063635978478,0.8656190876066396,0.8935167494574642,0.8106838514284492,0.1397789716720581
shared18,file_disjoint,file_disjoint,102,majority,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36495,23505,0,0,0.60825,0.5,0.60825,1.0,0.756412249339344,0.378206124669672,0.0,1.0,0.0,0.0,0.5,0.60825,0.39175,0.39175
shared18,file_disjoint,file_disjoint,102,stratified,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,22124,14202,9303,14371,0.5237833333333334,0.5010040801630912,0.6090403567692562,0.6062200301411153,0.6076269208058115,0.50099864872822,0.002005628921475592,0.604211869814933,0.3937799698588848,0.39578813018506703,0.5010040801630911,0.6087291301044807,0.39222998965581135,0.4762166666666667
shared18,file_disjoint,file_disjoint,102,logreg,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,35898,1204,22301,597,0.9699833333333333,0.9662092253635465,0.9675489191957307,0.9836415947390054,0.9755288938407816,0.968358374037172,0.9369366650005662,0.05122314401191236,0.016358405260994656,0.9487768559880876,0.9847486050240611,0.9831091284379092,0.9838452311653707,0.030799426094372466
shared18,file_disjoint,file_disjoint,102,tree,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36456,457,23048,39,0.9917333333333334,0.9897443443441868,0.9876195378322,0.998931360460337,0.9932432432432432,0.9912988194238195,0.9827042040537429,0.01944267177196341,0.0010686395396629674,0.9805573282280365,0.9963033176239432,0.9952339678699542,0.9939332751335485,0.018006697551172866
shared18,file_disjoint,file_disjoint,102,rf,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36453,419,23086,42,0.9923166666666666,0.9905115814747814,0.9886363636363636,0.9988491574188245,0.9937165210516989,0.9919154088971744,0.9839175033509939,0.01782599446926186,0.0011508425811755036,0.9821740055307382,0.9978736370276119,0.9976115802486949,0.9956945136740657,0.01820431083677741
shared18,file_disjoint,file_disjoint,102,xgboost,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36434,413,23092,61,0.9921,0.9903789042619593,0.9887914891307298,0.9983285381559117,0.9935371274303946,0.9916890489481691,0.9834536199466367,0.017570729631993194,0.0016714618440882313,0.9824292703680068,0.9978501564396214,0.9975977255944832,0.9956629284193347,0.01765073649585247
