train_frac,model,direction,temporal_f1,control_mean,control_sd,control_min,control_max,delta,z,percentile_in_control,outside_control_range,n_control
0.6,tree,forward,0.48494138643392376,0.7575967738733616,0.07378892258949983,0.5658374792703151,0.9048602697280871,-0.2726553874394378,-3.695072076824668,0.0,True,20
0.6,tree,reverse,0.36217990069344486,0.7575967738733616,0.07378892258949983,0.5658374792703151,0.9048602697280871,-0.3954168731799167,-5.358756562684716,0.0,True,20
0.6,xgboost,forward,0.47011494252873565,0.7607396757251934,0.0774730592107968,0.6487463366981439,0.9486082630326628,-0.29062473319645776,-3.751300596065216,0.0,True,20
0.6,xgboost,reverse,0.4205719733970209,0.7607396757251934,0.0774730592107968,0.6487463366981439,0.9486082630326628,-0.3401677023281725,-4.3907870141362135,0.0,True,20
0.7,hgb,forward,0.4502054780922633,0.7871235174728464,0.12202511880345181,0.5404388714733542,0.9903242357708967,-0.33691803938058307,-2.7610547949825266,0.0,True,20
0.7,hgb,reverse,0.5190281229393624,0.7871235174728464,0.12202511880345181,0.5404388714733542,0.9903242357708967,-0.26809539453348397,-2.197050879051471,0.0,True,20
0.7,logreg,forward,0.5624079730338172,0.6742714069502164,0.12872769827532446,0.41552747172400606,0.8716099184101371,-0.11186343391639919,-0.86899272973206,0.2,False,20
0.7,logreg,reverse,0.548510134997349,0.6742714069502164,0.12872769827532446,0.41552747172400606,0.8716099184101371,-0.12576127195286735,-0.9769558039007854,0.15,False,20
0.7,majority,forward,0.46872322193658955,0.4185919744572102,0.06525776538602321,0.25938967136150237,0.4888256806176351,0.05013124747937936,0.7682035568155753,0.65,False,20
0.7,majority,reverse,0.401755055322396,0.4185919744572102,0.06525776538602321,0.25938967136150237,0.4888256806176351,-0.016836919134814166,-0.25800636959015866,0.35,False,20
0.7,mlp,forward,0.5581760852800204,0.7455637050977995,0.12194338108140204,0.5507660878447396,0.9483922354191914,-0.18738761981777907,-1.5366772526398165,0.05,False,20
0.7,mlp,reverse,0.7185838144308565,0.7455637050977995,0.12194338108140204,0.5507660878447396,0.9483922354191914,-0.02697989066694295,-0.22124932429856775,0.4,False,20
0.7,rf,forward,0.5439522792309862,0.7874675120741009,0.12036603185365612,0.5258652553763441,0.9922428013614248,-0.24351523284311472,-2.023122546227879,0.05,False,20
0.7,rf,reverse,0.39686416900478627,0.7874675120741009,0.12036603185365612,0.5258652553763441,0.9922428013614248,-0.39060334306931466,-3.2451293529740974,0.0,True,20
0.7,stratified,forward,0.4575150690258604,0.46404900172834207,0.04138692164519467,0.35849536154530437,0.511072823872694,-0.0065339327024816485,-0.15787433427632777,0.4,False,20
0.7,stratified,reverse,0.4677491472889994,0.46404900172834207,0.04138692164519467,0.35849536154530437,0.511072823872694,0.003700145560657342,0.08940373948027025,0.4,False,20
0.7,tree,forward,0.5477404671361472,0.7562617023539225,0.10667569297804899,0.6006948327675341,0.9201763334304868,-0.20852123521777532,-1.954721168398535,0.0,True,20
0.7,tree,reverse,0.3781334975982583,0.7562617023539225,0.10667569297804899,0.6006948327675341,0.9201763334304868,-0.3781282047556642,-3.5446519652182893,0.0,True,20
0.7,xgboost,forward,0.462180993609565,0.7822328594309824,0.1216768155186582,0.545496355610307,0.9866793018222797,-0.3200518658214174,-2.6303438700065254,0.0,True,20
0.7,xgboost,reverse,0.43848290112392946,0.7822328594309824,0.1216768155186582,0.545496355610307,0.9866793018222797,-0.34374995830705296,-2.8251064661890464,0.0,True,20
