model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
majority,110,0.0,477736,1.0,682152,1.0,56001
stratified,110,0.0765548336319641,477736,0.9235962072969074,682152,0.9218049677684327,56001
logreg,110,0.09216177972771572,477736,0.876696102921343,682152,0.998875020088927,56001
tree,110,0.3157538891772862,477736,0.8107943684105595,682152,0.28254852591918,56001
rf,110,0.0050216018889093555,477736,0.9331893771476152,682152,1.0,56001
xgboost,110,0.1252428119296013,477736,0.7897711946897465,682152,0.9979821788896627,56001
hgb,110,0.09785530083560795,477736,0.7828284605190632,682152,0.9977857538258246,56001
mlp,110,0.3744453003332384,477736,0.8774246795435622,682152,0.9951786575239728,56001
majority,111,0.0,477736,1.0,682152,1.0,56001
stratified,111,0.06165748446840933,477736,0.9386104563205855,682152,0.9367332726201317,56001
logreg,111,0.08548863807625968,477736,0.9293119422064291,682152,0.9971786218103248,56001
tree,111,0.40879062913408243,477736,0.48861104270016065,682152,0.6418278245031339,56001
rf,111,0.007648575782440511,477736,0.934615745464354,682152,1.0,56001
xgboost,111,0.07901644422861162,477736,0.8961609729209912,682152,0.9983393153693684,56001
hgb,111,0.06650535023527639,477736,0.8155015304506913,682152,0.9981786039535008,56001
mlp,111,0.3371715759331514,477736,0.93219253186973,682152,0.995875073659399,56001
majority,112,0.0,477736,1.0,682152,1.0,56001
stratified,112,0.062080312138921914,477736,0.9381867970774842,682152,0.9363582793164408,56001
logreg,112,0.08365289616022238,477736,0.9220657566055659,682152,0.9974643309940894,56001
tree,112,0.06645929969690373,477736,0.8600165359040214,682152,0.9977857538258246,56001
rf,112,0.0048122812599427295,477736,0.9332934595222179,682152,1.0,56001
xgboost,112,0.11830801949193696,477736,0.9120826443373324,682152,1.0,56001
hgb,112,0.06510290202119999,477736,0.8967781374239172,682152,0.9998214317601472,56001
mlp,112,0.15808940502704422,477736,0.7559620143311169,682152,0.9970893376903984,56001
majority,113,0.0,477736,1.0,682152,1.0,56001
stratified,113,0.07531774871477134,477736,0.9248070811197504,682152,0.9229120908555204,56001
logreg,113,0.09368772711288242,477736,0.8768837443854156,682152,0.9997321476402207,56001
tree,113,0.04497253713347958,477736,0.9411421501366264,682152,0.9998214317601472,56001
rf,113,0.004965085319088367,477736,0.940360799352637,682152,1.0,56001
xgboost,113,0.11071386707302779,477736,0.8563663230482356,682152,0.999500008928412,56001
hgb,113,0.0828637573890182,477736,0.9028017216104328,682152,0.9995357225763826,56001
mlp,113,0.6763254182226167,477736,0.6085901675872826,682152,0.99469652327637,56001
majority,114,0.0,477736,1.0,682152,1.0,56001
stratified,114,0.06273548570758745,477736,0.9374860734850884,682152,0.9356440063570294,56001
logreg,114,0.0841113083376593,477736,0.928561376350139,682152,0.996625060266781,56001
tree,114,0.08514953865733375,477736,0.7673729608650272,682152,0.9978393242977804,56001
rf,114,0.0037970762094545942,477736,0.9486727298314745,682152,1.0,56001
xgboost,114,0.08158899475861145,477736,0.9065574827897595,682152,0.9999821431760147,56001
hgb,114,0.04844097995545657,477736,0.8994300390528797,682152,1.0,56001
mlp,114,0.649065592712293,477736,0.6580366252682687,682152,0.9945536686844878,56001
majority,115,0.0,477736,1.0,682152,1.0,56001
stratified,115,0.0613058258117454,477736,0.9389901370955447,682152,0.9370546954518669,56001
logreg,115,0.08570842473667464,477736,0.92999360846263,682152,0.9971786218103248,56001
tree,115,0.10812247768642096,477736,0.7825807151485299,682152,0.28492348350922303,56001
rf,115,0.0013459316442554047,477736,1.0,682152,1.0,56001
xgboost,115,0.08356079508347707,477736,0.8489940658386987,682152,0.9980000357136479,56001
hgb,115,0.04672664400421991,477736,0.8660064032649615,682152,0.9993214406885591,56001
mlp,115,0.6662780280322186,477736,0.5354994194842205,682152,0.9941786753807967,56001
majority,116,0.0,477736,1.0,682152,1.0,56001
stratified,116,0.07619270894385183,477736,0.9239377733994769,682152,0.9221085337761825,56001
logreg,116,0.09056675653499004,477736,0.8759440711161148,682152,0.9974643309940894,56001
tree,116,0.04906684863606678,477736,0.8658407510349599,682152,0.9976786128819128,56001
rf,116,0.01673727749217141,477736,0.9274311297188896,682152,1.0,56001
xgboost,116,0.1313214829947921,477736,0.8677450187055085,682152,0.9997678612881913,56001
hgb,116,0.08589262689016527,477736,0.8853026891367319,682152,0.9997857181121765,56001
mlp,116,0.633171877354857,477736,0.5581908430965533,682152,0.6400599989285906,56001
majority,117,0.0,477736,1.0,682152,1.0,56001
stratified,117,0.06071763484434918,477736,0.9396380865261701,682152,0.9376618274673667,56001
logreg,117,0.07908970644874994,477736,0.9294951858236874,682152,0.996625060266781,56001
tree,117,0.07661135020178508,477736,0.9876508461457271,682152,0.9991071588007358,56001
rf,117,0.005297905119145302,477736,0.9333755526627496,682152,1.0,56001
xgboost,117,0.06372138587002026,477736,0.767589921307861,682152,0.9981428903055303,56001
hgb,117,0.0323714352696887,477736,0.8784640373406514,682152,0.9976964697058981,56001
mlp,117,0.36338479829864195,477736,0.8151174518289179,682152,0.9933572614774736,56001
majority,118,0.0,477736,1.0,682152,1.0,56001
stratified,118,0.05707964231290922,477736,0.943200342445672,682152,0.9415010446242031,56001
logreg,118,0.09305976522598255,477736,0.8781840410934806,682152,0.9971786218103248,56001
tree,118,0.03383667967245508,477736,0.8698457235337579,682152,0.9984107426653096,56001
rf,118,0.0032779610496173617,477736,0.9999135090126541,682152,1.0,56001
xgboost,118,0.06362719158698528,477736,0.8242444499173205,682152,1.0,56001
hgb,118,0.11432255471641241,477736,0.867646800126658,682152,1.0,56001
mlp,118,0.6760114372791667,477736,0.553077613200577,682152,0.9929108408778414,56001
majority,119,0.0,477736,1.0,682152,1.0,56001
stratified,119,0.07310522966659411,477736,0.9270573127396826,682152,0.9252870484455634,56001
logreg,119,0.09332978883734949,477736,0.9281538425453565,682152,0.996625060266781,56001
tree,119,0.23535383559120518,477736,0.9982980332829047,682152,0.9955357940036785,56001
rf,119,0.0006468007435068741,477736,1.0,682152,1.0,56001
xgboost,119,0.06886648693001993,477736,0.9028779509552123,682152,0.9998928590560883,56001
hgb,119,0.04533675502788151,477736,0.8917074200471449,682152,0.9999285727040589,56001
mlp,119,0.39001875512835543,477736,0.770496898052047,682152,0.9929644113497973,56001
majority,120,0.0,477736,1.0,682152,1.0,56001
stratified,120,0.055846743808295796,477736,0.9443789653918775,682152,0.942679595007232,56001
logreg,120,0.09350771137197113,477736,0.9288882829633278,682152,0.996625060266781,56001
tree,120,0.07801170520957182,477736,0.8126722490002228,682152,0.992321565686327,56001
rf,120,0.0050739320461510124,477736,0.9371635647187138,682152,1.0,56001
