seed,model,poison_rate,f1_macro,recall,fpr,f1_drop,alerts_per_hour,false_alerts_per_hour,ppv_deploy
104,rf,0.05,0.634980416575442,0.8654762406712485,0.19262569832402235,0.05309097998146073,46646.42871552308,46230.167597765365,0.008923751061336678
104,rf,0.1,0.585703599882504,0.8129822490196905,0.19486033519553073,0.10236779667439877,47157.49395346991,46766.48044692737,0.008291651522626453
104,rf,0.25,0.5004098194675731,0.6938061306236033,0.22837988826815642,0.18766157708932962,55144.86751571959,54811.17318435754,0.006051230992021711
104,xgboost,0.0,0.6757760635802572,0.874035501960619,0.026145251396648046,0.0,6695.238131729696,6274.860335195531,0.06278757950997062
104,xgboost,0.01,0.6692733719199728,0.8694396424505629,0.03106145251396648,0.006502691660284388,7872.91596645443,7454.748603351955,0.053114673760552907
104,xgboost,0.05,0.6159124627212207,0.8156280305266265,0.01675977653631285,0.059863600859036525,4414.632395421277,4022.346368715084,0.08886040593392563
104,xgboost,0.1,0.5940981977369445,0.81125353122233,0.1329608938547486,0.08167786584331271,32300.796584244592,31910.614525139663,0.012079642001623203
104,xgboost,0.25,0.561946148170013,0.7742442130117637,0.15553072625698325,0.11382991541024423,37699.75628789406,37327.374301675976,0.009877570119403134
104,hgb,0.0,0.6647145626312215,0.8835329088839229,0.1470391061452514,0.0,35714.3311624999,35289.38547486033,0.011898464112517267
104,hgb,0.01,0.6287181630069101,0.8302061812202218,0.021899441340782123,0.03599639962431145,5655.163483897636,5255.865921787709,0.07060760723308454
104,hgb,0.05,0.6245083402673359,0.826095205970401,0.023687150837988828,0.0402062223638856,6082.236540662201,5684.916201117318,0.06532471022602224
104,hgb,0.1,0.6149686871928237,0.8355399080828098,0.13675977653631285,0.04974587543839781,33224.20925035812,32822.34636871509,0.012095483706318853
104,hgb,0.25,0.5927361435899554,0.8197917105873425,0.18636871508379887,0.07197841904126612,45122.78021839021,44728.49162011173,0.008738127313302946
104,mlp,0.0,0.6877929683033271,0.9255913479782435,0.311731843575419,0.0,75260.81665352096,74815.64245810056,0.005915085900141782
