seed,model,attack,eps,f1_macro,recall,fpr,precision,f1_drop,recall_drop,fpr_rise,alerts_per_hour,false_alerts_per_hour,ppv_deploy
102,logreg,evasion_unconstrained,0.25,0.5706916845602001,0.8165767154973015,0.1936127744510978,0.9909244011976048,0.15768013009466464,0.1260601387818041,0.0,46859.80817631829,46467.065868263475,0.008381218859818037
102,logreg,evasion_unconstrained,0.5,0.498241870006605,0.7070161912104858,0.1936127744510978,0.9895327506204813,0.23012994464825975,0.23562066306861984,0.0,46807.11373577954,46467.065868263475,0.007264875792931693
102,logreg,evasion_constrained,0.0,0.7283718146548648,0.9426368542791056,0.1936127744510978,0.9921285401282155,0.0,0.0,0.0,46920.43830318729,46467.065868263475,0.00966257885304155
102,logreg,evasion_constrained,0.01,0.7287101696040157,0.9427910562837317,0.1936127744510978,0.992129817444219,-0.0003383549491509097,-0.000154202004626125,0.0,46920.5124684801,46467.065868263475,0.009664144238007573
102,logreg,evasion_constrained,0.05,0.7263565947408563,0.9417116422513493,0.1936127744510978,0.9921208675168548,0.002015219914008437,0.0009252120277563058,0.0,46919.99331143046,46467.065868263475,0.009653186439322047
102,logreg,evasion_constrained,0.1,0.7146201275514592,0.9360832690824981,0.1936127744510978,0.9920738682791306,0.013751687103405574,0.0065535851966075365,0.0,46917.28627824303,46467.065868263475,0.009596045417237593
102,logreg,evasion_constrained,0.25,0.66062463728779,0.9038550501156515,0.1936127744510978,0.9917935702199662,0.0677471773670748,0.038781804163454114,0.0,46901.785732046555,46467.065868263475,0.009268727341570027
102,logreg,evasion_constrained,0.5,0.6145391137388192,0.8654587509637626,0.1936127744510978,0.9914326090796679,0.11383270091604558,0.07717810331534303,0.0,46883.31857413783,46467.065868263475,0.008878482124001597
102,tree,gaussian_noise,0.0,0.7784181269311116,0.9515034695451041,0.0718562874251497,0.9970913791710431,0.0,0.0,0.0,17703.145921296098,17245.508982035928,0.02585059973491228
102,tree,gaussian_noise,0.01,0.7221353999646757,0.933307632999229,0.13572854291417166,0.9944138667542923,0.05628272696643588,0.018195836545875088,0.06387225548902196,33023.73573411025,32574.850299401198,0.013592812101066866
102,tree,gaussian_noise,0.05,0.6278623430851559,0.8774865073245952,0.19161676646706588,0.9916354448026488,0.1505557838459557,0.07401696222050891,0.11976047904191618,46410.06155080905,45988.02395209581,0.009093665998507493
102,tree,gaussian_noise,0.1,0.5596349407223932,0.8073245952197379,0.2215568862275449,0.9895104895104895,0.2187831862087184,0.14417887432536625,0.14970059880239522,53561.94508509722,53173.65269461078,0.007249407949422721
102,tree,gaussian_noise,0.25,0.5257571105282242,0.7593677717810332,0.22954091816367264,0.9884584504215175,0.2526610164028874,0.1921356977640709,0.15768463073852296,55455.04734370518,55089.82035928143,0.00658600076851618
102,tree,gaussian_noise,0.5,0.4848752264729039,0.7154973014649191,0.3592814371257485,0.9809725158562368,0.2935429004582077,0.23600616808018504,0.2874251497005988,86571.67186880004,86227.54491017964,0.003975052707101796
102,tree,missing_telemetry,0.0,0.7784181269311116,0.9515034695451041,0.0718562874251497,0.9970913791710431,0.0,0.0,0.0,17703.145921296098,17245.508982035928,0.02585059973491228
102,tree,missing_telemetry,0.01,0.534246072624883,0.7475713184271395,0.09381237524950099,0.9951760238119676,0.24417205430622857,0.2039321511179646,0.021956087824351295,22874.523399404312,22514.970059880237,0.015718506272066786
102,tree,missing_telemetry,0.05,0.5339134420627325,0.761449498843485,0.17365269461077845,0.9912676904546823,0.24450468486837906,0.1900539707016191,0.10179640718562875,42042.87492246345,41676.64670658683,0.008710827139010677
102,tree,missing_telemetry,0.1,0.750826066630079,0.9508095605242868,0.17964071856287425,0.9927547898889068,0.02759206030103256,0.0006939090208173404,0.10778443113772455,43571.075650532366,43113.77245508982,0.010495568186344633
102,tree,missing_telemetry,0.25,0.5183074487461041,0.7365458750963763,0.17165668662674652,0.9910779126465401,0.26011067818500744,0.21495759444872786,0.09980039920159682,41551.85531150761,41197.604790419166,0.00852550429897
102,tree,missing_telemetry,0.5,0.2689166619091914,0.3184271395528142,0.4171656686626746,0.951832219405393,0.5095014650219202,0.6330763299922899,0.3453093812375249,100272.91180868655,100119.76047904191,0.0015273449916049285
102,tree,stale_telemetry,0.0,0.7784181269311116,0.9515034695451041,0.0718562874251497,0.9970913791710431,0.0,0.0,0.0,17703.145921296098,17245.508982035928,0.02585059973491228
102,tree,stale_telemetry,0.01,0.7785640704446715,0.9517347725520432,0.07385229540918163,0.9970115499555771,-0.00014594351355989854,-0.00023130300693907646,0.0019960079840319334,18182.29908540297,17724.55089820359,0.025175484412027233
102,tree,stale_telemetry,0.05,0.7766000678310538,0.9508095605242868,0.0718562874251497,0.9970892626131953,0.0018180591000577229,0.0006939090208173404,0.0,17702.81217747847,17245.508982035928,0.025832234497992594
102,tree,stale_telemetry,0.1,0.7793992186883434,0.951349267540478,0.0658682634730539,0.9973326867119302,-0.0009810917572318223,0.000154202004626125,-0.0059880239520958,16265.946007500299,15808.383233532935,0.028130105298294978
102,tree,stale_telemetry,0.25,0.7797894769318734,0.9521973785659213,0.07385229540918163,0.9970129974973763,-0.0013713500007618284,-0.0006939090208172294,0.0019960079840319334,18182.521581281388,17724.55089820359,0.02518741314457018
102,tree,stale_telemetry,0.5,0.7800335353307071,0.9528141865844256,0.07984031936127745,0.9967736731730924,-0.0016154083995955082,-0.0013107170393215073,0.007984031936127747,19619.94399095561,19161.676646706586,0.02335721979941809
102,tree,scaling_attack,0.0,0.7784181269311116,0.9515034695451041,0.0718562874251497,0.9970913791710431,0.0,0.0,0.0,17703.145921296098,17245.508982035928,0.02585059973491228
102,tree,scaling_attack,0.01,0.7776078432795109,0.951195065535852,0.0718562874251497,0.9970904388588054,0.0008102836516006295,0.00030840400925213896,0.0,17702.997590710485,17245.508982035928,0.025842437492880968
102,tree,scaling_attack,0.05,0.7763991857056596,0.9507324595219738,0.0718562874251497,0.9970890272499393,0.0020189412254519867,0.0007710100231302919,0.0,17702.775094832068,17245.508982035928,0.02583019387336782
102,tree,scaling_attack,0.1,0.7757978776677912,0.9505011565150348,0.0718562874251497,0.9970883209317373,0.0026202492633203844,0.0010023130300693683,0.0,17702.663846892858,17245.508982035928,0.02582407194819833
102,tree,scaling_attack,0.25,0.7746012465156038,0.9500385505011565,0.0718562874251497,0.997086907266548,0.003816880415507762,0.0014649190439476323,0.0,17702.44135101444,17245.508982035928,0.025811827867026238
102,tree,scaling_attack,0.5,0.7800496466247341,0.9521202775636083,0.0718562874251497,0.9970932579733549,-0.0016315196936225185,-0.0006168080185041669,0.0,17703.442582467324,17245.508982035928,0.025866923808644495
102,tree,evasion_unconstrained,0.0,0.7784181269311116,0.9515034695451041,0.0718562874251497,0.9970913791710431,0.0,0.0,0.0,17703.145921296098,17245.508982035928,0.02585059973491228
102,tree,evasion_unconstrained,0.01,0.7634286074036767,0.9455666923670007,0.0718562874251497,0.9970731707317073,0.01498951952743488,0.00593677717810337,0.0,17700.29055752306,17245.508982035928,0.025693452545830737
102,tree,evasion_unconstrained,0.05,0.7038063729011326,0.9161141094834233,0.0718562874251497,0.9969793589528444,0.074611754029979,0.03538936006168081,0.0,17686.124986597093,17245.508982035928,0.02491308892677584
