protocol,model,split_seed,model_seed,n_train,n_test,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
group_disjoint,cnn1d,113,22,2196,612,0.5,337,20,146,109,0.7892156862745098,0.8175617267275379,0.9439775910364145,0.7556053811659192,0.8393524283935243,0.7664695633654082,0.5727636203128008,0.12048192771084337,0.24439461883408073,0.8795180722891566,0.8942271327462314,0.9627474897931368,0.7301813186048285,0.17000003159046173
group_disjoint,gru,114,11,2171,637,0.5,427,119,27,64,0.7127158555729984,0.5272926373350445,0.782051282051282,0.869653767820774,0.8235294117647058,0.5256887565152644,0.0655655421150915,0.815068493150685,0.13034623217922606,0.18493150684931506,0.4104288145523533,0.6836594255712911,0.22166923282024303,0.27806806564331055
group_disjoint,gru,114,22,2171,637,0.5,439,120,26,52,0.7299843014128728,0.5360879390676003,0.7853309481216458,0.8940936863543788,0.8361904761904762,0.5341666666666667,0.09254565747400434,0.821917808219178,0.10590631364562118,0.1780821917808219,0.4382166671316575,0.7019632475442169,0.2377340777954439,0.2586366534233093
group_disjoint,cnn1d,114,11,2171,637,0.5,396,119,27,95,0.6640502354788069,0.4957244092291382,0.7689320388349514,0.8065173116089613,0.7872763419483101,0.4943844396308715,-0.009133973992850123,0.815068493150685,0.1934826883910387,0.18493150684931506,0.40460480428535556,0.7179035141355103,0.20712419478999988,0.3112018406391144
group_disjoint,cnn1d,114,22,2171,637,0.5,425,128,18,66,0.695447409733124,0.49443405964902487,0.7685352622061483,0.8655804480651731,0.814176245210728,0.48534899217058136,-0.013828768573831272,0.8767123287671232,0.13441955193482688,0.1232876712328767,0.39449125352230563,0.7135179421952522,0.21539228046284142,0.2773306667804718
group_disjoint,gru,115,11,2215,593,0.5,429,6,106,52,0.9021922428330523,0.9191602316602316,0.9862068965517241,0.8918918918918919,0.9366812227074236,0.8609332039463045,0.7421957188988194,0.05357142857142857,0.10810810810810811,0.9464285714285714,0.9781890406890407,0.9942612633752879,0.9420274650188084,0.07889014482498169
group_disjoint,gru,115,22,2215,593,0.5,421,0,112,60,0.8988195615514334,0.9376299376299376,1.0,0.8752598752598753,0.9334811529933481,0.8611067736797726,0.7549414963822818,0.0,0.12474012474012475,1.0,0.9988862488862489,0.9997406462384669,0.9955593042228289,0.07351098209619522
group_disjoint,cnn1d,115,11,2215,593,0.5,425,1,111,56,0.9038785834738617,0.9373236560736561,0.9976525821596244,0.8835758835758836,0.9371554575523704,0.8664271911417766,0.761117101617996,0.008928571428571428,0.11642411642411643,0.9910714285714286,0.9932432432432433,0.9984210236998056,0.9751005930573327,0.07123107463121414
group_disjoint,cnn1d,115,22,2215,593,0.5,426,3,109,55,0.9021922428330523,0.9294345856845857,0.993006993006993,0.8856548856548857,0.9362637362637363,0.8630594043637522,0.7515501981973569,0.026785714285714284,0.11434511434511435,0.9732142857142857,0.9876744876744877,0.9970782610015264,0.9578819800524498,0.07506854832172394
group_disjoint,gru,116,11,2225,583,0.5,403,27,110,43,0.8799313893653516,0.8532535759876927,0.9372093023255814,0.9035874439461884,0.9200913242009132,0.8393560069280428,0.6808702089452694,0.19708029197080293,0.09641255605381166,0.8029197080291971,0.9190042879120159,0.9637103624736694,0.862333774446777,0.10589960962533951
group_disjoint,gru,116,22,2225,583,0.5,410,30,107,36,0.8867924528301887,0.8501522045104907,0.9318181818181818,0.9192825112107623,0.9255079006772009,0.8448968074814576,0.6901130128251187,0.21897810218978103,0.08071748878923767,0.781021897810219,0.9169748944388072,0.9446862633020485,0.8650862403427195,0.10115575045347214
group_disjoint,cnn1d,116,11,2225,583,0.5,402,54,83,44,0.8319039451114922,0.7535923537691074,0.881578947368421,0.9013452914798207,0.8913525498891353,0.760070214338507,0.5209662408668791,0.39416058394160586,0.09865470852017937,0.6058394160583942,0.8721482111878498,0.9546088326832518,0.7514115143873988,0.13761821389198303
group_disjoint,cnn1d,116,22,2225,583,0.5,397,49,88,49,0.8319039451114922,0.7662351477856699,0.8901345291479821,0.8901345291479821,0.8901345291479821,0.7662351477856699,0.5324702955713397,0.35766423357664234,0.10986547085201794,0.6423357664233577,0.8919838957808255,0.9637887197159827,0.7731392687209997,0.1372198760509491
group_disjoint,gru,117,11,2183,625,0.5,443,69,65,48,0.8128,0.693657476365626,0.865234375,0.9022403258655805,0.8833499501495513,0.7048328698116177,0.41303153062766484,0.5149253731343284,0.09775967413441955,0.48507462686567165,0.7674711979815788,0.9210814319987548,0.6286264563458763,0.1638466864824295
group_disjoint,gru,117,22,2183,625,0.5,462,89,45,29,0.8112,0.6383788795330881,0.838475499092559,0.9409368635437881,0.8867562380038387,0.6597242728480732,0.35156148589478076,0.664179104477612,0.059063136456211814,0.3358208955223881,0.7501899869288993,0.9147584427318965,0.5524923665299644,0.17041613161563873
group_disjoint,cnn1d,117,11,2183,625,0.5,463,78,56,28,0.8304,0.6804419855913912,0.8558225508317929,0.9429735234215886,0.8972868217054264,0.7055241447976673,0.4342326377772964,0.582089552238806,0.05702647657841141,0.417910447761194,0.7288886524607106,0.8997206935439915,0.5590028256013998,0.15578539669513702
group_disjoint,cnn1d,117,22,2183,625,0.5,466,79,55,25,0.8336,0.6797656321245098,0.8550458715596331,0.9490835030549898,0.8996138996138996,0.7068162956013423,0.44165846885905075,0.5895522388059702,0.05091649694501019,0.41044776119402987,0.7302869562574095,0.8917947691090897,0.5621297795101222,0.1537972390651703
