model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
rf,108,0.7307299428973324,477736,0.19977512343290058,682152,0.719076445063481,56001
xgboost,108,0.7482417067166803,477736,0.08309438365642847,682152,0.3607435581507473,56001
hgb,108,0.7475928127668838,477736,0.08414400309608416,682152,0.3591185871680863,56001
mlp,108,0.9714633186529799,477736,0.12945501882278437,682152,0.005589185907394511,56001
majority,109,0.0,477736,1.0,682152,1.0,56001
stratified,109,0.05852395465277894,477736,0.9417314616097292,682152,0.939804646345601,56001
logreg,109,0.1470791399433997,477736,0.8636667487598072,682152,0.999000017856824,56001
tree,109,0.722553879129896,477736,0.06329967514571533,682152,0.7171121944250995,56001
rf,109,0.7304013095098548,477736,0.19673621128428856,682152,0.36299351797289336,56001
xgboost,109,0.7568845554867123,477736,0.07054146289976428,682152,0.3602078534311887,56001
hgb,109,0.7485640604852889,477736,0.0756737501319354,682152,0.3585650256245424,56001
mlp,109,0.9729599611500913,477736,0.0467417818902532,682152,0.005589185907394511,56001
majority,110,0.0,477736,1.0,682152,1.0,56001
stratified,110,0.0765548336319641,477736,0.9235962072969074,682152,0.9218049677684327,56001
logreg,110,0.14674004052447376,477736,0.8648805544805264,682152,0.9987321654970447,56001
tree,110,0.686822847765293,477736,0.18908249187864287,682152,0.3605649899108945,56001
rf,110,0.6948000569352111,477736,0.1905425770209572,682152,0.7190943018874663,56001
xgboost,110,0.9726145821122963,477736,0.09164526381217089,682152,0.7163264941697469,56001
hgb,110,0.9683967714386188,477736,0.1628830524575168,682152,0.3602792807271299,56001
mlp,110,0.9526077163956662,477736,0.13166273792351266,682152,0.3616542561739969,56001
majority,111,0.0,477736,1.0,682152,1.0,56001
stratified,111,0.06165748446840933,477736,0.9386104563205855,682152,0.9367332726201317,56001
logreg,111,0.14717542743272435,477736,0.8637385802577725,682152,0.9987321654970447,56001
tree,111,0.9254839492941709,477736,0.16766937574030422,682152,0.3621542472455849,56001
rf,111,0.7160126094746889,477736,0.1952160222355135,682152,0.3635649363404225,56001
xgboost,111,0.9702199541169181,477736,0.15836499783039557,682152,0.7174693309048052,56001
hgb,111,0.9758067217040374,477736,0.17280899271716568,682152,0.0037499330369100553,56001
mlp,111,0.9812176599628246,477736,0.13113939415262288,682152,0.005589185907394511,56001
majority,112,0.0,477736,1.0,682152,1.0,56001
stratified,112,0.062080312138921914,477736,0.9381867970774842,682152,0.9363582793164408,56001
logreg,112,0.14633814491685784,477736,0.8618387104340381,682152,0.999000017856824,56001
tree,112,0.7335139072625886,477736,0.15805861450233966,682152,0.7228263781003911,56001
rf,112,0.9596429827352345,477736,0.20213823312106394,682152,0.720201424974554,56001
xgboost,112,0.9714319205586349,477736,0.15874467860535482,682152,0.36252924054927593,56001
hgb,112,0.9674024984510273,477736,0.16935228512120465,682152,0.36252924054927593,56001
mlp,112,0.9715386740794079,477736,0.14451911011035665,682152,0.004732058356100784,56001
majority,113,0.0,477736,1.0,682152,1.0,56001
stratified,113,0.07531774871477134,477736,0.9248070811197504,682152,0.9229120908555204,56001
logreg,113,0.14681539595090176,477736,0.8659932097245189,682152,0.999000017856824,56001
tree,113,0.9288875027211682,477736,0.18296801885796715,682152,0.3619042517097909,56001
rf,113,0.7174276169265034,477736,0.19825493438412553,682152,0.36363636363636365,56001
xgboost,113,0.9712393455799856,477736,0.09721880167470007,682152,0.3586364529204836,56001
hgb,113,0.9789297854882194,477736,0.1837464377440805,682152,0.7177371832645846,56001
mlp,113,0.9671827117906124,477736,0.13709114684117324,682152,0.005589185907394511,56001
majority,114,0.0,477736,1.0,682152,1.0,56001
stratified,114,0.06273548570758745,477736,0.9374860734850884,682152,0.9356440063570294,56001
logreg,114,0.1478494398579969,477736,0.863684340147064,682152,0.9987321654970447,56001
tree,114,0.7198348041596195,477736,0.08504556169299511,682152,0.7180228924483492,56001
rf,114,0.6618864812364988,477736,0.2049909697545415,682152,0.7190585882394958,56001
xgboost,114,0.9741070381968284,477736,0.09598154077097186,682152,0.36106498098248246,56001
hgb,114,0.7424539913257532,477736,0.14500873705567088,682152,0.3602792807271299,56001
mlp,114,0.980669239914932,477736,0.13911855422251931,682152,0.005303476723629935,56001
majority,115,0.0,477736,1.0,682152,1.0,56001
stratified,115,0.0613058258117454,477736,0.9389901370955447,682152,0.9370546954518669,56001
logreg,115,0.14783478741396922,477736,0.8637297845641441,682152,0.9987321654970447,56001
tree,115,0.9201902305876049,477736,0.06767260082796796,682152,0.3624220996053642,56001
rf,115,0.717417150895055,477736,0.2035220889185988,682152,0.36385064552418706,56001
xgboost,115,0.9700483112011655,477736,0.1820664602610562,682152,0.3605649899108945,56001
hgb,115,0.986496726225363,477736,0.17221381744831063,682152,0.005517758611453367,56001
mlp,115,0.9802024549123365,477736,0.1159477653074388,682152,0.0051963357797182195,56001
majority,116,0.0,477736,1.0,682152,1.0,56001
stratified,116,0.07619270894385183,477736,0.9239377733994769,682152,0.9221085337761825,56001
logreg,116,0.14647629653197583,477736,0.8649245329486683,682152,0.9987321654970447,56001
tree,116,0.6767691779560259,477736,0.06868996939098618,682152,0.3607792717987179,56001
rf,116,0.7313432523402046,477736,0.2055040518828648,682152,0.7196121497830396,56001
xgboost,116,0.7472369676976406,477736,0.077073731367789,682152,0.36106498098248246,56001
hgb,116,0.7401849557077549,477736,0.17139728388980754,682152,0.3605114194389386,56001
mlp,116,0.960794246194551,477736,0.048358723568940644,682152,0.005874895091159086,56001
majority,117,0.0,477736,1.0,682152,1.0,56001
stratified,117,0.06071763484434918,477736,0.9396380865261701,682152,0.9376618274673667,56001
logreg,117,0.14683842122008808,477736,0.8640508273815807,682152,0.9987321654970447,56001
tree,117,0.9416560610881324,477736,0.12279374684820979,682152,0.005964179211085516,56001
rf,117,0.7238705058860961,477736,0.20016799774830243,682152,0.36186853806182034,56001
xgboost,117,0.9731106720029472,477736,0.08875294655736551,682152,0.3602792807271299,56001
hgb,117,0.9822098397441265,477736,0.18065475143369805,682152,0.005232049427688791,56001
mlp,117,0.9373545221628682,477736,0.099705051073661,682152,0.3616542561739969,56001
majority,118,0.0,477736,1.0,682152,1.0,56001
stratified,118,0.05707964231290922,477736,0.943200342445672,682152,0.9415010446242031,56001
logreg,118,0.14795200696619054,477736,0.863682874198126,682152,0.9987321654970447,56001
tree,118,0.9665652159351609,477736,0.1591096998909334,682152,0.0035713647970571955,56001
rf,118,0.9602018688145754,477736,0.19907733173838088,682152,0.7188621631756575,56001
xgboost,118,0.9972097560158749,477736,0.08933053043896375,682152,0.002999946429528044,56001
hgb,118,0.9923200261232145,477736,0.13408448556919866,682152,0.0035713647970571955,56001
mlp,118,0.9812951085955423,477736,0.13177121814492956,682152,0.004053499044659917,56001
majority,119,0.0,477736,1.0,682152,1.0,56001
stratified,119,0.07310522966659411,477736,0.9270573127396826,682152,0.9252870484455634,56001
logreg,119,0.1469807592477854,477736,0.8648585652464553,682152,0.999000017856824,56001
tree,119,0.867950081216404,477736,0.09033617141047744,682152,0.3626899519651435,56001
rf,119,0.9647231944002546,477736,0.12352965321511922,682152,0.3640649274120105,56001
xgboost,119,0.9874658807374784,477736,0.06649690977963855,682152,0.00492848341993893,56001
hgb,119,0.9886652879414572,477736,0.04470997666209291,682152,0.004607060588203782,56001
mlp,119,0.995083058425574,477736,0.12782781550153044,682152,0.0029106623096016144,56001
majority,120,0.0,477736,1.0,682152,1.0,56001
