surface,model,pi,tpr,fpr,corpus_precision,ppv,ppv_sd,npv,fdr,alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,missed_per_hour,n_seeds
d_a_radio_heldout,mlp,0.0005,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.0099098667329842,0.015220190354244979,0.9999455923002387,0.9900901332670158,56232.91526654058,56120.396364973705,1349589.966396974,23430.381361058575,7.541128448141107,20
d_a_radio_heldout,mlp,0.001,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.01921939440855867,0.02899351607159968,0.9998911473618396,0.9807806055914414,56345.54679964054,56120.396364973705,1352293.123191373,23477.31116651689,15.08980557340748,20
d_a_radio_heldout,mlp,0.002,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.03631630462935446,0.052975462579308644,0.9997821455922533,0.9636836953706455,56571.14843758326,56120.396364973705,1357707.5625019982,23571.311848993028,30.209851238144438,20
d_a_radio_heldout,mlp,0.005,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.07876966037150927,0.10543613275496803,0.9994542419438494,0.9212303396284908,57250.674175185595,56120.396364973705,1374016.1802044543,23854.447572994,75.75234054187976,20
d_a_radio_heldout,mlp,0.01,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.13189412316967586,0.1581937944754291,0.9989047199083,0.8681058768303241,58392.36893297538,56120.396364973705,1401416.8543914093,24330.153722073075,152.26985624074823,20
d_a_radio_heldout,mlp,0.05,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.3387499409194674,0.26528529426921627,0.9943674432585787,0.6612500590805326,67958.56921929822,56120.396364973705,1631005.6612631576,28316.07050804093,793.4060930438986,20
d_a_radio_heldout,mlp,0.1,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.46420169368269537,0.2753121438906648,0.9883140254921605,0.5357983063173046,81112.09461299215,56120.396364973705,1946690.2707118117,33796.70608874673,1674.9684186482305,20
d_a_radio_heldout,mlp,0.2,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.6102148134097795,0.24846751568951247,0.9747013867748582,0.38978518659022054,112351.71742301519,56120.396364973705,2696441.2181523643,46813.215592923,3768.6789419585184,20
d_a_radio_heldout,mlp,0.5,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.8273920381190866,0.1433328355156327,0.9140360470931436,0.17260796188091337,281045.68059713964,56120.396364973705,6745096.334331351,117102.36691547485,15074.715767834074,20
d_a_radio_heldout,rf,0.0001,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.05172628331096953,0.22321518667312168,0.9999895830992358,0.9482737166890305,62870.11049389193,62847.222013250284,1508882.6518534063,26195.87937245497,1.1139195983857628,20
d_a_radio_heldout,rf,0.0005,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.05845188263684751,0.2219680995339732,0.9999479062927634,0.9415481173631525,62961.71021631969,62847.222013250284,1511081.0451916726,26234.04592346654,5.571826945602423,20
d_a_radio_heldout,rf,0.001,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.06647919248952928,0.221049838208319,0.9998957895588481,0.9335208075104708,63076.313022194976,62847.222013250284,1513831.5125326794,26281.797092581237,11.149231295554797,20
d_a_radio_heldout,rf,0.002,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.08140376051772993,0.22091891471616698,0.9997914868898479,0.9185962394822701,63305.86313135798,62847.222013250284,1519340.7151525917,26377.44297139916,22.320805739998484,20
d_a_radio_heldout,rf,0.005,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.11908051122648418,0.22843911920907373,0.9994780230834547,0.8809194887735158,63997.28190237462,62847.222013250284,1535934.7656569907,26665.53412598942,55.97026162944343,20
d_a_radio_heldout,rf,0.01,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.16631923883038183,0.24836272010123359,0.9989537160179655,0.8336807611696182,65158.95855805575,62847.222013250284,1563815.005393338,27149.566065856565,112.50587943696205,20
d_a_radio_heldout,rf,0.05,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.34197195342816333,0.3125535815284988,0.9946715337313983,0.6580280465718367,74892.58611513137,62847.222013250284,1797422.0667631533,31205.244214638078,586.2148454873286,20
d_a_radio_heldout,rf,0.1,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.45067552490376556,0.3057056534350925,0.9890794843546358,0.5493244750962345,88276.32400611037,62847.222013250284,2118631.776146649,36781.801669212655,1237.5646738065825,20
d_a_radio_heldout,rf,0.2,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.5881768500100938,0.2636531892700734,0.9769363256580041,0.4118231499899062,120062.70149718548,62847.222013250284,2881504.8359324513,50026.12562382728,2784.5205160648106,20
d_a_radio_heldout,rf,0.5,0.9535913247322532,0.26186342505520954,0.9262917244228099,0.8117975221972893,0.14944728458354942,0.9273709618291326,0.1882024778027108,291709.139948991,62847.222013250284,7001019.358775785,121545.47497874626,11138.082064259243,20
