model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
majority,105,source_heldout,210803,89197,0.9240570580115084,0.5,89098,99,0,0,0.9988900972005785,0.5,0.9988900972005785,1.0,0.9994447404582293,0.49972237022911464,0.0,1.0,0.0,0.0,0.5,0.9988900972005785,0.0011099027994215052,0.0011099027994215052
stratified,105,source_heldout,210803,89197,0.9240570580115084,0.5,82315,91,8,6783,0.922934627846228,0.5023392129107185,0.9988957114773196,0.9238703450133561,0.9599193021737102,0.48112075413475064,0.0005873609110070188,0.9191919191919192,0.07612965498664392,0.08080808080808081,0.5023392129107185,0.9988952840643683,0.0011154080071653083,0.07706537215377199
logreg,105,source_heldout,210803,89197,0.9240570580115084,0.5,88829,26,73,269,0.9966927138805117,0.8671772949590633,0.9997073884418435,0.9969808525443893,0.9983422589110608,0.6647040092741245,0.3956429214592283,0.26262626262626265,0.0030191474556106757,0.7373737373737373,0.9710271926202698,0.9998658359803803,0.17443898207216701,0.010213914535588493
tree,105,source_heldout,210803,89197,0.9240570580115084,0.5,81851,30,69,7247,0.9184165386728254,0.8078161466060185,0.999633614635874,0.9186625962423399,0.9574392176817036,0.4880250707424027,0.07470411935413038,0.30303030303030304,0.0813374037576601,0.696969696969697,0.78720520203494,0.9995350646657186,0.034522638902190955,0.06399916630499208
rf,105,source_heldout,210803,89197,0.9240570580115084,0.5,88311,34,65,787,0.9907956545623732,0.8238663430643048,0.9996151451695059,0.9911670295629531,0.9953731620858529,0.5660356872469222,0.22173620137741876,0.3434343434343434,0.008832970437046847,0.6565656565656566,0.9667299722856526,0.9999567873543918,0.2764180103161909,0.03264370593331124
xgboost,105,source_heldout,210803,89197,0.9240570580115084,0.5,88212,15,84,886,0.9898987634113255,0.9192703709976825,0.9998299840184978,0.9900558935105165,0.9949189341604399,0.576037577463756,0.26920871824577886,0.15151515151515152,0.00994410648948349,0.8484848484848485,0.9632523012340742,0.9999436520067349,0.23379000381073903,0.010166468098759651
hgb,105,source_heldout,210803,89197,0.9240570580115084,0.5,88241,19,80,857,0.9901790418960279,0.8992310929447566,0.9997847269431226,0.990381377808705,0.9950608374023162,0.5747504959212353,0.26076792509694063,0.1919191919191919,0.009618622191294978,0.8080808080808081,0.9816061692141962,0.9999748892474385,0.27663971983210583,0.006172773719908765
mlp,105,source_heldout,210803,89197,0.9240570580115084,0.5,88819,17,82,279,0.9966815027411235,0.9125757224311626,0.9998086361385025,0.9968686165794968,0.9983364618341632,0.677429100482299,0.4327500640495417,0.1717171717171717,0.003131383420503266,0.8282828282828283,0.9847880588189014,0.9999812484129917,0.24902502841598523,0.0055746352300047874
majority,106,source_heldout,212205,87795,0.9401003746377323,0.5,84344,3451,0,0,0.9606925223532092,0.5,0.9606925223532092,1.0,0.9799522478926914,0.4899761239463457,0.0,1.0,0.0,0.0,0.5,0.9606925223532092,0.03930747764679082,0.03930747764679082
stratified,106,source_heldout,212205,87795,0.9401003746377323,0.5,79262,3263,188,5082,0.9049490289879834,0.4971118572990526,0.9604604665252954,0.9397467513990325,0.9499907112765104,0.4965525165143015,-0.004725525875260608,0.9455230368009273,0.060253248600967466,0.054476963199072734,0.4971118572990526,0.960474448642784,0.03910951635111631,0.09505097101201664
logreg,106,source_heldout,212205,87795,0.9401003746377323,0.5,78891,491,2960,5453,0.9322968278375762,0.8965352487844003,0.9938147187019727,0.9353480982642511,0.9636954423854489,0.7313419895676402,0.5235701856212008,0.1422776006954506,0.06465190173574883,0.8577223993045494,0.9538350819825684,0.9978445481664657,0.42528245633190936,0.0679226319962962
tree,106,source_heldout,212205,87795,0.9401003746377323,0.5,77904,349,3102,6440,0.9226721339484025,0.9112579569206627,0.9955401070885461,0.9236460210566253,0.958246462111847,0.7178671701000242,0.513539296164476,0.10113010721529991,0.07635397894337476,0.8988698927847001,0.9267688074225591,0.9948934821970492,0.34921028641105495,0.0651061109547174
rf,106,source_heldout,212205,87795,0.9401003746377323,0.5,80600,1190,2261,3744,0.9438008998234524,0.8053913856881669,0.985450544076293,0.9556103575832305,0.9703010822588994,0.7242579861379099,0.4701968817584398,0.3448275862068966,0.04438964241676942,0.6551724137931034,0.969035317702259,0.9986747936566086,0.5872343814616838,0.0372745016338384
xgboost,106,source_heldout,212205,87795,0.9401003746377323,0.5,77856,173,3278,6488,0.9241300757446324,0.9364732630452712,0.9977828755975342,0.9230769230769231,0.9589771698496671,0.7275025063896138,0.5395116621539648,0.05013039698638076,0.07692307692307693,0.9498696030136192,0.9748619705153597,0.9989122597913735,0.605732047056115,0.057283274829387665
hgb,106,source_heldout,212205,87795,0.9401003746377323,0.5,77608,172,3279,6736,0.9213167036847201,0.9351479788047969,0.9977886346104397,0.9201365835151285,0.9573906392637734,0.7221974732038458,0.5319944437632993,0.049840625905534626,0.07986341648487148,0.9501593740944654,0.9725906340616163,0.9988175648198472,0.6038314358008295,0.05562637976186189
mlp,106,source_heldout,212205,87795,0.9401003746377323,0.5,76933,180,3271,7411,0.9135372173813998,0.9299874243116315,0.9976657632305836,0.9121336431755668,0.9529843859355742,0.7079363308012265,0.5112051728243249,0.05215879455230368,0.08786635682443328,0.9478412054476963,0.9705821903802323,0.9987429207400405,0.5733776968007167,0.06361868232488632
majority,107,source_heldout,211378,88622,0.9242967574676646,0.5,88603,19,0,0,0.9997856062828643,0.5,0.9997856062828643,1.0,0.9998927916490337,0.49994639582451683,0.0,1.0,0.0,0.0,0.5,0.9997856062828643,0.00021439371713569995,0.00021439371713569995
stratified,107,source_heldout,211378,88622,0.9242967574676646,0.5,81888,18,1,6715,0.9240256369750175,0.48842203869775114,0.9997802358801553,0.9242124984481338,0.9605123483217894,0.48040465226037504,-0.0012810022748609166,0.9473684210526315,0.07578750155186618,0.05263157894736842,0.48842203869775114,0.9997806428895589,0.00021094658221607865,0.0759743630249825
logreg,107,source_heldout,211378,88622,0.9242967574676646,0.5,88482,2,17,121,0.9986120827785425,0.9466855999291933,0.9999773970435333,0.9986343577531235,0.9993054261464703,0.6079329678503053,0.33171189466954504,0.10526315789473684,0.0013656422468765167,0.8947368421052632,0.9385746116473422,0.9999803804792713,0.2888361370416841,0.009562261482704122
tree,107,source_heldout,211378,88622,0.9242967574676646,0.5,69958,8,11,18645,0.7895217891719889,0.6842571565534492,0.999885658748535,0.7895669446858459,0.8823666668768801,0.44177235619613753,0.013234349057838752,0.42105263157894735,0.21043305531415415,0.5789473684210527,0.58620802313335,0.9998249568705507,0.0003119651816558696,0.2435698819669843
rf,107,source_heldout,211378,88622,0.9242967574676646,0.5,88541,12,7,62,0.9991649928911557,0.6838606510293996,0.9998644879337798,0.9993002494272203,0.9995822890559732,0.5793365990734411,0.1930161365164021,0.631578947368421,0.0006997505727797028,0.3684210526315789,0.7802768351077576,0.9999450673178395,0.08047137469609618,0.061881647707535695
xgboost,107,source_heldout,211378,88622,0.9242967574676646,0.5,87903,10,9,700,0.9919884453070343,0.7328919004168208,0.999886251180144,0.992099590307326,0.9959777017380861,0.5103514882316804,0.07654833107275316,0.5263157894736842,0.007900409692674063,0.47368421052631576,0.7830517797603385,0.9999138904559172,0.04399624806251961,0.01793578267097473
hgb,107,source_heldout,211378,88622,0.9242967574676646,0.5,87755,12,7,848,0.9902958633296473,0.6794251353019412,0.9998632743514076,0.9904292179723034,0.9951238872824176,0.5055710969592866,0.053748408309910116,0.631578947368421,0.00957078202769658,0.3684210526315789,0.7446750941663495,0.9999096989015946,0.03349880020104022,0.022521361978086206
mlp,107,source_heldout,211378,88622,0.9242967574676646,0.5,88496,8,11,107,0.9987023538173365,0.7888698671840149,0.9999096086052608,0.998792365946977,0.9993506750156685,0.5799673083107539,0.23195877043427282,0.42105263157894735,0.0012076340530230354,0.5789473684210527,0.7115111939301094,0.9998100019937829,0.1358471405653985,0.002748232102021575
majority,108,source_heldout,197795,102205,0.9387851057913497,0.5,98247,3958,0,0,0.9612739102783621,0.5,0.9612739102783621,1.0,0.9802546245485203,0.49012731227426015,0.0,1.0,0.0,0.0,0.5,0.9612739102783621,0.03872608972163789,0.03872608972163789
stratified,108,source_heldout,197795,102205,0.9387851057913497,0.5,92220,3700,258,6027,0.9048285308937919,0.5019195259961187,0.9614261884904087,0.938654615408104,0.9499039486627491,0.5001399075540632,0.0030832895546837142,0.9348155634158666,0.06134538459189594,0.0651844365841334,0.5019195259961187,0.9614168469249257,0.03887758028237738,0.0951714691062081
logreg,108,source_heldout,197795,102205,0.9387851057913497,0.5,95048,232,3726,3199,0.9664302137860183,0.9544118734925005,0.9975650713685978,0.9674392093397254,0.9822712076351103,0.8335044359410505,0.6976963438672091,0.05861546235472461,0.03256079066027461,0.9413845376452754,0.9874562423395307,0.9993623091214832,0.8640659749272486,0.0372515889795855
tree,108,source_heldout,197795,102205,0.9387851057913497,0.5,92781,73,3885,5466,0.9458049997553936,0.9629605275065121,0.9992138195446615,0.9443647134263642,0.9710153269736945,0.7774153950970358,0.6196438828522374,0.018443658413340072,0.05563528657363584,0.9815563415866599,0.9881761552372874,0.9991944474718856,0.8989131714379052,0.037609133037271036
rf,108,source_heldout,197795,102205,0.9387851057913497,0.5,96104,331,3627,2143,0.9757937478596937,0.9472797670706649,0.9965676362316587,0.9781876291388032,0.9872920968553847,0.8664873313224292,0.7478276931410817,0.08362809499747346,0.021812370861196778,0.9163719050025265,0.9948998464559217,0.9997835934912883,0.9194819880720982,0.016233601492797366
xgboost,108,source_heldout,197795,102205,0.9387851057913497,0.5,92909,64,3894,5338,0.9471454429822416,0.964748884735672,0.9993116281070848,0.9456675521898887,0.9717498169647526,0.7810985627659244,0.6256328953397025,0.01616978271854472,0.05433244781011125,0.9838302172814553,0.9949416711023062,0.9997895386297301,0.9222943194731025,0.03570139780640602
hgb,108,source_heldout,197795,102205,0.9387851057913497,0.5,92920,85,3873,5327,0.9470476004109388,0.9621520111115309,0.9990860706413633,0.9457795148961291,0.9717022567084266,0.7801967735890514,0.6231108659042891,0.021475492673067205,0.054220485103870855,0.9785245073269327,0.9940069028564932,0.9997478389564856,0.9128923690964275,0.03492504940061739
mlp,108,source_heldout,197795,102205,0.9387851057913497,0.5,92689,103,3855,5558,0.9446113203854998,0.9587025270012115,0.9988899905164238,0.9434282980650809,0.9703673071990536,0.7734941763726926,0.6121239544052323,0.026023244062657908,0.05657170193491913,0.9739767559373421,0.9928775461119942,0.99968490064326,0.9079104565972175,0.034927256405353546
majority,109,source_heldout,187861,112139,0.941611084791415,0.5,106972,5167,0,0,0.9539232559591222,0.5,0.9539232559591222,1.0,0.9764183450397287,0.48820917251986434,0.0,1.0,0.0,0.0,0.5,0.9539232559591222,0.04607674404087784,0.04607674404087784
stratified,109,source_heldout,187861,112139,0.941611084791415,0.5,100724,4855,312,6248,0.9009889512123347,0.5009876967166005,0.954015476562574,0.9415921923493998,0.9477631250852736,0.5004868324326343,0.0017646850339298917,0.939616798916199,0.058407807650600156,0.06038320108380105,0.5009876967166005,0.9540100901593062,0.046166366694156344,0.09901104878766531
logreg,109,source_heldout,187861,112139,0.941611084791415,0.5,99659,585,4582,7313,0.9295695520737656,0.9092089070065967,0.9941642392562149,0.9316363160453203,0.9618851826113813,0.749492585444713,0.557208772695254,0.11321850203212697,0.06836368395467973,0.8867814979678731,0.9686108811451547,0.9980592855925241,0.7178195261175893,0.06219173741098949
tree,109,source_heldout,187861,112139,0.941611084791415,0.5,93404,173,4994,13568,0.8774645752146889,0.9198406799263641,0.9981512551161076,0.8731630707100924,0.931483078948287,0.6762013144330545,0.4736656137501738,0.03348171085736404,0.12683692928990764,0.9665182891426359,0.9546637140579325,0.9966880685222117,0.5547213070129928,0.09817078294947154
rf,109,source_heldout,187861,112139,0.941611084791415,0.5,98362,471,4696,8610,0.9190201446419176,0.9141781192897167,0.9952343852761729,0.9195116479078638,0.9558757075872792,0.7321466991354899,0.5370277000434853,0.09115540932843043,0.08048835209213626,0.9088445906715695,0.9745016830487815,0.9987384615717406,0.7091476948401305,0.061649767864444
xgboost,109,source_heldout,187861,112139,0.941611084791415,0.5,94267,168,4999,12705,0.8852049688333229,0.9243582855239061,0.9982209985704453,0.8812306024006282,0.9360846445257612,0.6866160619332055,0.4879943318327122,0.03251403135281595,0.1187693975993718,0.9674859686471841,0.9739661538760144,0.9987036615075087,0.7151826521455571,0.09165682643651962
hgb,109,source_heldout,187861,112139,0.941611084791415,0.5,93780,165,5002,13192,0.8808888968155593,0.9223722927742908,0.9982436532013412,0.8766780091986688,0.9335198116635227,0.680877452169675,0.4803732052140965,0.03193342365008709,0.12332199080133119,0.9680665763499129,0.9750104927533458,0.9987470482313128,0.7302589473233682,0.0927596811888702
mlp,109,source_heldout,187861,112139,0.941611084791415,0.5,94238,285,4882,12734,0.8839030132246587,0.9129008858311074,0.9969848608275235,0.8809595034214561,0.9353879748877143,0.6819765665598647,0.4757816625715091,0.05515773175924134,0.11904049657854392,0.9448422682407587,0.9709915923656726,0.9980417575901734,0.7543595326825079,0.08945602923631668
majority,110,source_heldout,211337,88663,0.9232410794134487,0.5,88648,15,0,0,0.9998308200715067,0.5,0.9998308200715067,1.0,0.9999154028796859,0.49995770143984297,0.0,1.0,0.0,0.0,0.5,0.9998308200715067,0.00016917992849328355,0.00016917992849328355
stratified,110,source_heldout,211337,88663,0.9232410794134487,0.5,81833,13,2,6815,0.9229892965498573,0.5282281232139097,0.999841165114972,0.923122913094486,0.9599516698534846,0.48026857497358066,0.002756111123632115,0.8666666666666667,0.07687708690551394,0.13333333333333333,0.5282281232139097,0.9998403698181665,0.00018574049623982475,0.07701070345014267
logreg,110,source_heldout,211337,88663,0.9232410794134487,0.5,88534,3,12,114,0.9986803965577524,0.8993570074902988,0.9999661158611653,0.9987140149805974,0.9993396732229026,0.5847762195901747,0.2757552133508101,0.2,0.001285985019402581,0.8,0.8273606473543303,0.999839394194903,0.0927052636913521,0.009663359426973836
tree,110,source_heldout,211337,88663,0.9232410794134487,0.5,86775,6,9,1873,0.9788073942907414,0.7894357458713113,0.9999308604418018,0.9788714917426226,0.989289114114542,0.4993888902148883,0.05223241758975449,0.4,0.02112850825737749,0.6,0.7409462142405919,0.9999112051414201,0.003794422779399359,0.01668193456248125
rf,110,source_heldout,211337,88663,0.9232410794134487,0.5,88559,11,4,89,0.9988721338100448,0.6328313479529525,0.9998758044484588,0.9989960292392384,0.9994357232335316,0.5367548986538029,0.10673967578665391,0.7333333333333333,0.001003970760761664,0.26666666666666666,0.8237440965015191,0.9999639241794693,0.12957939077526204,0.05968299358254323
xgboost,110,source_heldout,211337,88663,0.9232410794134487,0.5,87294,9,6,1354,0.9846271838309103,0.6923630538760039,0.9998969107590805,0.984726107752008,0.9922535251291553,0.500490398928214,0.04071437020514636,0.6,0.015273892247992058,0.4,0.8415034744156664,0.9999642888030531,0.017884409016203247,0.01381579227745533
hgb,110,source_heldout,211337,88663,0.9232410794134487,0.5,87321,12,3,1327,0.9848978717164996,0.5925153415756701,0.9998625948954004,0.9850306831513401,0.9923912240525966,0.4984260952976738,0.019797431217861563,0.8,0.014969316848659868,0.2,0.9060625545227567,0.9999821726753491,0.011367360562905353,0.010952927762225626
mlp,110,source_heldout,211337,88663,0.9232410794134487,0.5,88545,6,9,103,0.9987706258529488,0.7994190506271996,0.999932242436562,0.9988381012543994,0.9993848723751263,0.5705585779198467,0.21927230340415796,0.4,0.0011618987456005776,0.6,0.7179925097012905,0.9998034183873341,0.1795650472406876,0.0026948240119963884
majority,111,source_heldout,198105,101895,0.9384770702405291,0.5,97877,4018,0,0,0.960567250601109,0.5,0.960567250601109,1.0,0.9798870712612379,0.48994353563061893,0.0,1.0,0.0,0.0,0.5,0.960567250601109,0.039432749398891014,0.039432749398891014
stratified,111,source_heldout,198105,101895,0.9384770702405291,0.5,91851,3754,264,6026,0.904018842926542,0.5020686308202685,0.9607342712201244,0.9384329311278441,0.9494526622631563,0.5003375069173756,0.003345743568952595,0.9342956694873071,0.06156706887215587,0.06570433051269288,0.5020686308202684,0.9607239882501705,0.03959954862978354,0.09598115707345797
logreg,111,source_heldout,198105,101895,0.9384770702405291,0.5,94624,240,3778,3253,0.9657196133274449,0.9535165994165644,0.9974700624051274,0.9667644083901223,0.9818772342158648,0.8328700136144036,0.6964808962411482,0.05973120955699353,0.033235591609877706,0.9402687904430065,0.988969123348825,0.999508098755048,0.86348846362401,0.03660568313998904
tree,111,source_heldout,198105,101895,0.9384770702405291,0.5,92548,99,3919,5329,0.9467294764218067,0.9604574949472472,0.9989314278929701,0.9455541138367543,0.971510150952111,0.7811719305944032,0.6239147343042456,0.02463912394225983,0.05444588616324571,0.9753608760577401,0.9884621774630813,0.9992014395381563,0.8944139331678518,0.03485634118021848
rf,111,source_heldout,198105,101895,0.9384770702405291,0.5,95949,290,3728,1928,0.9782324942342607,0.9540632979112207,0.9969866686062823,0.9803018073704752,0.9885738424447238,0.879649749421659,0.7719006995283079,0.07217521154803384,0.01969819262952481,0.9278247884519661,0.9956269129711378,0.9998182376496458,0.9280797115500798,0.015155604411657815
xgboost,111,source_heldout,198105,101895,0.9384770702405291,0.5,92681,72,3946,5196,0.9482997203003092,0.9644967996600684,0.9992237447845352,0.946912962187235,0.972365315008131,0.7860306818201749,0.6326644351577193,0.017919362867098058,0.053087037812765,0.982080637132902,0.99515606189996,0.9997960054967652,0.9249534668661442,0.03365465626120567
hgb,111,source_heldout,198105,101895,0.9384770702405291,0.5,92676,79,3939,5201,0.9481819520094215,0.9636001772584686,0.9991482938925126,0.9468618776627808,0.9723026564270427,0.7855129333206805,0.6315054707208475,0.019661523145843702,0.053138122337219165,0.9803384768541563,0.9950742198639181,0.9997818408821595,0.9260055836765881,0.032459248241557825
mlp,111,source_heldout,198105,101895,0.9384770702405291,0.5,94468,187,3831,3409,0.964708768830659,0.9593150018903308,0.9980244044160372,0.9651705712271524,0.9813225853364635,0.830952641042721,0.6958968231873894,0.046540567446490794,0.03482942877284755,0.9534594325535092,0.9924692015368808,0.9996444194388711,0.9057441758851733,0.03607082739472389
majority,112,source_heldout,143070,156930,0.9380722723142517,0.5,149634,7296,0,0,0.9535079334735233,0.5,0.9535079334735233,1.0,0.976200728069832,0.488100364034916,0.0,1.0,0.0,0.0,0.5,0.9535079334735233,0.04649206652647677,0.04649206652647677
stratified,112,source_heldout,143070,156930,0.9380722723142517,0.5,140407,6804,492,9227,0.897846173453132,0.5028852087690456,0.953780627806346,0.9383362070117754,0.9459953847967795,0.5019133550489921,0.0050406189999318935,0.9325657894736842,0.0616637929882246,0.06743421052631579,0.5028852087690456,0.9537638124394577,0.046770598509170064,0.10215382654686803
logreg,112,source_heldout,143070,156930,0.9380722723142517,0.5,134832,708,6588,14802,0.901166125023896,0.9020195790887661,0.9947764497565295,0.9010786318617426,0.9456121525805298,0.7024651434310304,0.4933959981998299,0.09703947368421052,0.09892136813825735,0.9029605263157895,0.9698691877809047,0.9983192718707679,0.692980434605899,0.07301545129394905
