protocol,direction,train_frac,rep,model,n_train_sessions,n_test_sessions,n_train,n_test,train_prevalence,test_prevalence,f1_macro,recall,fpr,precision,pr_auc,brier,ece,alerts_per_hour,false_alerts_per_hour,ppv_deploy
random_sessions,n/a,0.5,4,rf,15,15,1402,1406,0.7282453637660485,0.8008534850640113,0.9141211157428333,0.9262877442273535,0.007142857142857143,0.9980861244019139,0.9983700633037875,0.06509243419309031,0.15241517013970826,2159.7948497858442,1714.2857142857142,0.206273820656765
random_sessions,n/a,0.5,4,xgboost,15,15,1402,1406,0.7282453637660485,0.8008534850640113,0.825738483784342,0.8294849023090586,0.0,1.0,0.998513104692218,0.09352782368659973,0.13168423574924643,398.9506544171825,0.0,1.0
random_sessions,n/a,0.5,4,hgb,15,15,1402,1406,0.7282453637660485,0.8008534850640113,0.8341690500068095,0.8392539964476021,0.0,1.0,0.9975001378116817,0.11454080651409146,0.12703846545187678,403.64921672830565,0.0,1.0
random_sessions,n/a,0.5,4,mlp,15,15,1402,1406,0.7282453637660485,0.8008534850640113,0.8131816026552869,0.8490230905861457,0.09642857142857143,0.9725330620549338,0.9874838772284005,0.09847371280193329,0.0955633832778574,23551.204921896573,23142.857142857145,0.01733872132630336
random_sessions,n/a,0.5,4,stratified,15,15,1402,1406,0.7282453637660485,0.8008534850640113,0.49988827873376995,0.7238010657193605,0.7142857142857143,0.8029556650246306,0.8023750451598415,0.3634423897581792,0.3477951635846373,171776.6921816228,171428.57142857142,0.0020265889896361553
random_sessions,n/a,0.5,4,majority,15,15,1402,1406,0.7282453637660485,0.8008534850640113,0.44470774091627174,1.0,1.0,0.8008534850640113,0.8008534850640113,0.19914651493598862,0.19914651493598862,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,5,logreg,15,15,1627,1181,0.8598647818070068,0.6333615580016935,0.8071023284560159,0.9371657754010695,0.3510392609699769,0.8218053927315357,0.8787613831208418,0.15174511958445536,0.12107638752579758,84700.16368709557,84249.42263279445,0.0053216078302548535
random_sessions,n/a,0.5,5,tree,15,15,1627,1181,0.8598647818070068,0.6333615580016935,0.7517247969421883,0.9986631016042781,0.5311778290993071,0.7645854657113613,0.7644100326796639,0.1955969517358171,0.1955969517358171,127962.997910457,127482.6789838337,0.0037535766937830464
random_sessions,n/a,0.5,5,rf,15,15,1627,1181,0.8598647818070068,0.6333615580016935,0.738362542457795,0.9986631016042781,0.5542725173210161,0.756838905775076,0.8336752810959427,0.17050533488274666,0.15954759740261118,133505.72308366717,133025.40415704387,0.003597740347972104
random_sessions,n/a,0.5,5,xgboost,15,15,1627,1181,0.8598647818070068,0.6333615580016935,0.7496811917123858,0.963903743315508,0.49653579676674364,0.7702991452991453,0.783933162048994,0.18025027215480804,0.1707348473309748,119632.1922228075,119168.59122401847,0.0038752194553585873
random_sessions,n/a,0.5,5,hgb,15,15,1627,1181,0.8598647818070068,0.6333615580016935,0.7720406765296568,1.0,0.49653579676674364,0.7767393561786086,0.7730699821424276,0.18100316287830628,0.18292483926152492,119649.55314786617,119168.59122401847,0.00401975528695297
random_sessions,n/a,0.5,5,mlp,15,15,1627,1181,0.8598647818070068,0.6333615580016935,0.7834757785941441,0.9652406417112299,0.4341801385681293,0.7934065934065934,0.8803588596652303,0.17057420313358307,0.1465685716827237,104667.47725236446,104203.23325635104,0.004435417841342209
random_sessions,n/a,0.5,5,stratified,15,15,1627,1181,0.8598647818070068,0.6333615580016935,0.46231759576075887,0.8489304812834224,0.859122401847575,0.6305858987090367,0.6310052162224995,0.4106689246401355,0.36663844199830653,206597.67968090903,206189.376443418,0.0019763205381669864
