direction,model,level,split_seed,model_seed,domain,n_train,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
b_to_a,tree,2,115,11,source_heldout,240000,0.5,29336,7176,16623,6865,0.7659833333333333,0.7544195402023284,0.8034618755477652,0.8103643545758404,0.8068983538019336,0.7549834252144567,0.5100106755067967,0.3015252741711837,0.18963564542415956,0.6984747258288163,0.8664080613380016,0.8863669329782526,0.7896587195652285,0.13849806992031222
b_to_a,tree,2,115,11,target,240000,0.5,304229,11262,76784,1247907,0.23229922045236442,0.5340481269486036,0.9643032606318406,0.1960066643644629,0.3257920344908271,0.21724725176394036,0.038939658839172865,0.12791041046725576,0.8039933356355371,0.8720895895327443,0.5398785569171387,0.9529930110705099,0.057975129728579655,0.767557807221426
b_to_a,rf,2,115,11,source_heldout,240000,0.5,31478,9899,13900,4723,0.7563,0.7267960722388362,0.7607608091451773,0.8695339907737355,0.8115187295367243,0.7334195410919678,0.4796239280277478,0.41594184629606284,0.13046600922626447,0.5840581537039371,0.8457392741222184,0.8865827059996096,0.7904795008012601,0.15075992303512786
b_to_a,rf,2,115,11,target,240000,0.5,530373,9278,78768,1021763,0.3713862242117033,0.6181642511406789,0.9828074070093449,0.3417052371699387,0.5071003883282571,0.3198210373657049,0.1133647854920595,0.10537673488858097,0.6582947628300613,0.894623265111419,0.8530896456603573,0.9823836074309317,0.5683133537551218,0.36696048524559755
b_to_a,xgboost,2,115,11,source_heldout,240000,0.5,29325,7139,16660,6876,0.7664166666666666,0.7550449542834835,0.8042178587099605,0.8100604955664208,0.8071286038670612,0.7555237399814867,0.5110788257736399,0.2999705869994538,0.18993950443357918,0.7000294130005462,0.867353302205651,0.8934165001010166,0.813994504230366,0.13816699385643005
b_to_a,xgboost,2,115,11,target,240000,0.5,1000775,9309,78737,551361,0.6581659840188467,0.7695219641513804,0.9907839348014621,0.6447727518722586,0.7811780409176418,0.5002285913526806,0.24978195665723707,0.10572882356949777,0.35522724812774137,0.8942711764305022,0.837778895604774,0.9872414079577357,0.2466593546707721,0.30695295333862305
b_to_a,hgb,2,115,11,source_heldout,240000,0.5,29319,7141,16658,6882,0.7662833333333333,0.754920065072342,0.804141524958859,0.8098947542885556,0.8070078859360592,0.7553913930620324,0.5108131785269188,0.3000546241438716,0.19010524571144444,0.6999453758561284,0.8672644533711944,0.893315573291493,0.8136274138670785,0.13803683241649348
b_to_a,hgb,2,115,11,target,240000,0.5,802558,9420,78626,749578,0.5372476956825523,0.7050386376116373,0.9883987004574015,0.5170668034244422,0.6789503382662596,0.42528799314404386,0.18486070768335253,0.10698952820116757,0.48293319657555783,0.8930104717988324,0.8069363936638216,0.9797097982848939,0.21436209888420887,0.38354404266560477
b_to_a,mlp,3,115,11,source_heldout,240000,0.5,35455,13494,10305,746,0.7626666666666667,0.7061971105324849,0.7243253181883185,0.9793928344520869,0.8327657075748679,0.7120786930987683,0.5204505929686589,0.5669986133871171,0.02060716554791304,0.4330013866128829,0.8667026306691616,0.8929324826987165,0.8135281380520071,0.13284651935100555
b_to_a,mlp,3,115,11,target,240000,0.5,947164,10840,77206,604972,0.6245465442249701,0.7435575735778641,0.9886848071615567,0.6102326084827618,0.7546702574358403,0.4775735009317177,0.22275056778221436,0.12311746132703359,0.38976739151723816,0.8768825386729664,0.8384822324168293,0.9846511643288018,0.2850308980441028,0.3579803705215454
b_to_a,majority,1,116,11,source_heldout,240000,0.5,36560,23440,0,0,0.6093333333333333,0.5,0.6093333333333333,1.0,0.7572493786246893,0.37862468931234466,0.0,1.0,0.0,0.0,0.5,0.6093333333333333,0.39066666666666666,0.39066666666666666
b_to_a,majority,1,116,11,target,240000,0.5,1552136,88046,0,0,0.9463193718745847,0.5,0.9463193718745847,1.0,0.9724194143565897,0.48620970717829487,0.0,1.0,0.0,0.0,0.5,0.9463193718745847,0.05368062812541535,0.05368062812541535
b_to_a,stratified,1,116,11,source_heldout,240000,0.5,22172,14136,9304,14388,0.5246,0.5016917349384994,0.6106643164040982,0.6064551422319475,0.6085524510073008,0.5016792637791321,0.003377086511214235,0.6030716723549489,0.39354485776805254,0.3969283276450512,0.5016917349384994,0.6101405148608223,0.39147629412500234,0.4754
b_to_a,stratified,1,116,11,target,240000,0.5,941717,53450,34596,610419,0.5952467470073443,0.4998271094792307,0.9462904216076297,0.6067232510553199,0.7393835754914119,0.4168856774765742,-0.0001595467599326958,0.6070690320968585,0.3932767489446801,0.3929309679031415,0.4998271094792307,0.9463018070744988,0.053663077403595216,0.4047532529926557
b_to_a,logreg,2,116,11,source_heldout,240000,0.5,28190,8252,15188,8370,0.7229666666666666,0.7095067437883212,0.7735579825476099,0.7710612691466083,0.7723076080107394,0.7093164917793175,0.4186389083246667,0.35204778156996586,0.2289387308533917,0.6479522184300341,0.8158211162071232,0.8622210956323214,0.7562982276961623,0.15672738854942106
b_to_a,logreg,2,116,11,target,240000,0.5,1197790,22417,65629,354346,0.770291955404949,0.7585493682724341,0.981628526963048,0.7717042836452476,0.8640994278125037,0.561235318438348,0.2670328570506298,0.25460554710037936,0.22829571635475243,0.7453944528996207,0.8262458177435206,0.9787966949765861,0.4338278640586947,0.17347884256809756
b_to_a,tree,2,116,11,source_heldout,240000,0.5,29636,7174,16266,6924,0.7650333333333333,0.7522773354941337,0.8051073077967944,0.8106126914660832,0.8078506201444732,0.7527565346057987,0.5055415378613065,0.3060580204778157,0.18938730853391686,0.6939419795221843,0.8649830489270057,0.8909254799178759,0.7973810923349893,0.13905109217932385
b_to_a,tree,2,116,11,target,240000,0.5,423392,19073,68973,1128744,0.30018924729084945,0.5280774099655356,0.9568937656085792,0.2727802202899746,0.42453804044016824,0.26591265438905615,0.028516102814260775,0.2166254003589033,0.7272197797100254,0.7833745996410967,0.5331451885523516,0.9512398829748161,0.05721968521308798,0.7019968660335913
b_to_a,rf,2,116,11,source_heldout,240000,0.5,31795,9897,13543,4765,0.7556333333333334,0.7237196697560138,0.7626163292718028,0.8696663019693655,0.8126309870674232,0.7307142671276563,0.4740992256856348,0.4222269624573379,0.13033369803063458,0.5777730375426621,0.8439522698906281,0.8874497760820725,0.7850217192109425,0.1516555529163206
b_to_a,rf,2,116,11,target,240000,0.5,548640,11131,76915,1003496,0.38139365021686616,0.6135258141248614,0.9801150827749204,0.3534741800976203,0.519568333264675,0.3256102945942565,0.10793060851954561,0.1264225518478977,0.6465258199023797,0.8735774481521024,0.8472367055223086,0.98294686784905,0.48570789161638683,0.33666174511678026
b_to_a,xgboost,2,116,11,source_heldout,240000,0.5,29605,7138,16302,6955,0.7651166666666667,0.7526212929701794,0.8057317039980404,0.8097647702407003,0.8077432028702781,0.7529732567877313,0.5059617588948087,0.3045221843003413,0.19023522975929977,0.6954778156996587,0.8654255178499414,0.8940678247400736,0.808227909440659,0.13877636194229126
b_to_a,xgboost,2,116,11,target,240000,0.5,927694,11058,76988,624442,0.6125429982770205,0.7360475824069886,0.9882205310880829,0.5976886046068128,0.7448701025497734,0.46995289855586797,0.21507089761630319,0.12559343979283558,0.4023113953931872,0.8744065602071645,0.8476070385546248,0.9872390375270386,0.26049953314143914,0.33275118470191956
b_to_a,hgb,2,116,11,source_heldout,240000,0.5,29600,7140,16300,6960,0.765,0.7525102501101559,0.8056614044637996,0.8096280087527352,0.8076398362892224,0.7528563207142044,0.5057273879718108,0.3046075085324232,0.19037199124726478,0.6953924914675768,0.8658364732853003,0.8941293992988326,0.8089764947170269,0.13869592157648772
b_to_a,hgb,2,116,11,target,240000,0.5,1101553,14193,73853,450583,0.7166314469979551,0.7742507566206023,0.9872793628657418,0.7097013406041739,0.8257883969380955,0.5334740685713528,0.2650749046525665,0.16119982736296937,0.29029865939582616,0.8388001726370307,0.8511970821384722,0.9873662396599201,0.26011720293718404,0.27825917033920977
b_to_a,mlp,3,116,11,source_heldout,240000,0.5,31355,8852,14588,5205,0.7657166666666667,0.7399931199169536,0.7798393314596961,0.8576312910284464,0.816887464665807,0.74587116045494,0.49808565852148023,0.3776450511945392,0.1423687089715536,0.6223549488054607,0.8649592504443582,0.8936113417518667,0.8084489820953115,0.1328526884317398
b_to_a,mlp,3,116,11,target,240000,0.5,908476,10342,77704,643660,0.6012625428153705,0.7339228153020683,0.9887442344403353,0.5853069576377328,0.7353240894002883,0.46366283539954245,0.212437068234019,0.11746132703359607,0.41469304236226723,0.8825386729664039,0.8199476194927864,0.9821914103244039,0.14323192869440277,0.3734409511089325
b_to_a,majority,1,117,11,source_heldout,240000,0.5,36350,23650,0,0,0.6058333333333333,0.5,0.6058333333333333,1.0,0.7545407368967306,0.3772703684483653,0.0,1.0,0.0,0.0,0.5,0.6058333333333333,0.39416666666666667,0.39416666666666667
b_to_a,majority,1,117,11,target,240000,0.5,1552136,88046,0,0,0.9463193718745847,0.5,0.9463193718745847,1.0,0.9724194143565897,0.48620970717829487,0.0,1.0,0.0,0.0,0.5,0.9463193718745847,0.05368062812541535,0.05368062812541535
b_to_a,stratified,1,117,11,source_heldout,240000,0.5,22100,14293,9357,14250,0.5242833333333333,0.5018114060214441,0.6072596378424422,0.6079779917469051,0.6076186024772143,0.501811713579636,0.003623967165424762,0.6043551797040169,0.3920220082530949,0.3956448202959831,0.5018114060214441,0.6067004950844009,0.3950366176773632,0.4757166666666667
b_to_a,stratified,1,117,11,target,240000,0.5,943731,53562,34484,608405,0.5964063744145467,0.49983986166773964,0.946292614106386,0.6080208177633919,0.7403469561223317,0.4173514076992322,-0.0001478650775261144,0.6083410944279127,0.39197918223660816,0.3916589055720873,0.49983986166773964,0.946303102594483,0.05366437096582846,0.4035936255854533
b_to_a,logreg,2,117,11,source_heldout,240000,0.5,27874,8330,15320,8476,0.7199,0.7073013426546583,0.7699149265274555,0.7668225584594223,0.7683656311161342,0.7070762101540289,0.41416141190206135,0.3522198731501057,0.2331774415405777,0.6477801268498943,0.8147175283754664,0.8597338081961072,0.7577456487301557,0.1571821257453171
b_to_a,logreg,2,117,11,target,240000,0.5,1241387,28042,60004,310749,0.7934430447352794,0.7406500333346606,0.977909753125224,0.799792672807022,0.8799279832291653,0.5707489322966679,0.2593516876305495,0.31849260613770075,0.20020732719297793,0.6815073938622993,0.8215527539560114,0.9773807851430067,0.43281735656265297,0.15075629760020617
b_to_a,tree,2,117,11,source_heldout,240000,0.5,29336,7227,16423,7014,0.76265,0.7507306228207671,0.8023411645652709,0.8070426409903714,0.8046850355903611,0.7511224358192636,0.5022653681571627,0.3055813953488372,0.1929573590096286,0.6944186046511628,0.8643546847509677,0.8848672340222694,0.7791715268653783,0.13926289796964578
b_to_a,tree,2,117,11,target,240000,0.5,314349,13952,74094,1237787,0.23682920553938527,0.5220320448827473,0.957502413943302,0.2025267115768206,0.3343361144244662,0.22009510269389035,0.024821108934434084,0.1584626218113259,0.7974732884231794,0.8415373781886741,0.59033573890116,0.9552030066486065,0.06689735842300118,0.6591571865598509
