seed,model,calibrator,domain,oracle,brier,ece,f1_macro,recall,fpr,precision,pr_auc,roc_auc,ppv_deploy,alerts_per_hour,mean_score,tp,fp,tn,fn
101,mlp,isotonic+prior_EM,target,False,0.37500034146027345,0.3773679910492218,0.45295241943484693,0.8077851068816356,0.840554197297252,0.5975645198790979,0.640306544591216,0.5555770383352016,0.001922179670409437,202121.5212304018,0.812698493835051,596269.0,401563.0,76173.0,141884.0
101,mlp,temperature,source_test,False,0.13688808299493324,0.26301154947344546,0.5509548218661721,0.8530191336039096,0.16374871266735325,0.9961550552559669,0.9960282412256947,0.878902516983237,0.010331657742448283,39709.96076374181,0.7178976556367187,,,,
101,mlp,temperature,target,False,0.33425896963278806,0.33420117213882994,0.5841836884579106,0.781725468839116,0.6113878794983003,0.6639317006380053,0.6343811723396249,0.5481562434407741,0.0025557919860448547,147109.07126500568,0.6974964640018416,,,,
102,logreg,raw,source_test,False,0.07898979752069438,0.15559429868297647,0.6908042604525906,0.908704018570745,0.12075287215839647,0.9944955764045195,0.9966674907467361,0.9450214541965268,0.01485675014153097,29417.74135099507,0.8045930429467842,,,,
102,logreg,raw,target,False,0.20779967103870708,0.17076749690538262,0.6426686946785399,0.6283927586828205,0.3231324413483598,0.7502968189420629,0.7728847600411021,0.6788877558615591,0.0038820473800184863,77854.01891375441,0.5194505336623371,,,,
102,logreg,platt,source_test,False,0.05138233214631977,0.15380514907818782,0.7664752189876056,0.9665543326647593,0.30530432657052065,0.987014337252945,0.9966664968590282,0.945021456685241,0.006304434242996949,73737.91420826672,0.806208534823679,,,,
102,logreg,platt,target,False,0.21260248503263315,0.16754779922894183,0.5127969697646467,0.9981128573615498,0.8604522162868194,0.6418726134293523,0.7728847600566242,0.6788877559409597,0.002319230682872331,206988.5861889304,0.683815818479094,,,,
102,logreg,platt+prior_ORACLE,target,True,0.3944572931970519,0.4437993043656363,0.2820789726179054,0.0,0.0,0.0,0.7728847600566242,0.6788877559409597,,0.0,0.18143741395267776,0.0,0.0,477736.0,738153.0
102,logreg,platt+prior_EM,target,False,0.39291006076324303,0.39291006211983937,0.37775697758799454,1.0,1.0,0.6070891339587742,0.7728855268757336,0.6788889604505897,0.002,240480.9619238477,0.9999991960786134,738153.0,477736.0,0.0,0.0
102,logreg,platt+prior_BBSE,target,False,0.29244314334976873,0.2849779592169659,0.37775697758799454,1.0,1.0,0.6070891339587742,0.7728847600263457,0.6788877559055131,0.002,240480.9619238477,0.8773128431567971,738153.0,477736.0,0.0,0.0
