attack,model,eps,f1_macro,f1_drop,recall,recall_drop,fpr,fpr_rise,false_alerts_per_hour,ppv_deploy,n
missing_telemetry,rf,0.1,0.6726309251840177,0.004169975581793483,0.9124846742017411,-0.007566260388413748,0.3922357927762734,0.09028417349367714,94136.59026630563,0.0061993062543107685,5
missing_telemetry,rf,0.25,0.6783562522115376,-0.0015553514457264939,0.9680396549182803,-0.06312124110495292,0.5944928598928616,0.29254124061026526,142678.28637428678,0.0035387843856011063,5
missing_telemetry,rf,0.5,0.5018743164774385,0.17492658428837268,0.9973476246397602,-0.09242921082643304,0.9870456461777071,0.6850940268951107,236890.95508264969,0.002021212501233189,5
missing_telemetry,tree,0.0,0.6254424044543221,0.0,0.8630260310026531,0.0,0.20223647745288123,0.0,48536.75458869149,0.013912843990617544,5
missing_telemetry,tree,0.01,0.522042591354966,0.10339981309935604,0.7399540090410336,0.12307202196161945,0.27346219214142736,0.07122571468854616,65630.92611394257,0.008897059881063384,5
missing_telemetry,tree,0.05,0.5874577128625221,0.037984691591800034,0.8705489891520527,-0.00752295814939965,0.4359762173201232,0.23373973986724197,104634.29215682956,0.005040203245423909,5
missing_telemetry,tree,0.1,0.487845751200431,0.13759665325389112,0.6691875291404255,0.1938385018622276,0.32289730296227154,0.12066082550939031,77495.35271094515,0.006591527569768099,5
missing_telemetry,tree,0.25,0.4842229769484436,0.14121942750587854,0.7000183688320603,0.1630076621705928,0.45609907602390026,0.2538625985710191,109463.77824573607,0.003461895840558065,5
missing_telemetry,tree,0.5,0.5244087449431398,0.1010336595111823,0.9665364904620123,-0.10351045945935924,0.887137713740983,0.6849012362881018,212913.05129783592,0.0022342850906658185,5
missing_telemetry,xgboost,0.0,0.6355657610879993,0.0,0.8629259452567041,0.0,0.0932441453213551,0.0,22378.594877125222,0.0365625545683697,5
missing_telemetry,xgboost,0.01,0.6382750134476093,-0.002709252359609926,0.8656206933923964,-0.002694748135692482,0.1293519275323483,0.03610778221099322,31044.4626077636,0.026185295828346593,5
missing_telemetry,xgboost,0.05,0.6601108704395989,-0.024545109351599592,0.8816539335066704,-0.018727988249966333,0.11269911473346708,0.01945496941211197,27047.787536032098,0.02783531902223698,5
missing_telemetry,xgboost,0.1,0.6440265696997245,-0.008460808611725134,0.934936952812906,-0.07201100755620196,0.2897059715361904,0.19646182621483527,69529.43316868567,0.035549717472643114,5
missing_telemetry,xgboost,0.25,0.5086064288098275,0.12695933227817185,0.804524014986575,0.05840193027012908,0.44439860039465967,0.3511544550733046,106655.66409471832,0.042501938038062355,5
missing_telemetry,xgboost,0.5,0.45355810318827167,0.1820076578997277,0.6910070983142675,0.17191884694243648,0.3168030114479302,0.22355886612657513,76032.72274750326,0.060761964539324496,5
scaling_attack,hgb,0.0,0.6160452335425184,0.0,0.8448849952808445,0.0,0.10195845196961639,0.0,24470.028472707934,0.02963810195379472,5
scaling_attack,hgb,0.01,0.6158305988584092,0.00021463468410918285,0.8448876577240982,-2.662443253731439e-06,0.10195845196961639,0.0,24470.028472707934,0.029632467744504076,5
scaling_attack,hgb,0.05,0.6165386817626206,-0.0004934482201021439,0.845596988953079,-0.0007119936722345344,0.10195845196961639,0.0,24470.028472707934,0.029642442089381937,5
scaling_attack,hgb,0.1,0.6187921000149696,-0.0027468664724512705,0.847468755456347,-0.0025837601755025696,0.10195845196961639,0.0,24470.028472707934,0.029720914053566083,5
scaling_attack,hgb,0.25,0.6284740830591619,-0.012428849516643503,0.8583386649090986,-0.013453669628254162,0.10195845196961639,0.0,24470.028472707934,0.029902990375511158,5
scaling_attack,hgb,0.5,0.6311283639698562,-0.01508313042733781,0.8606161835263164,-0.01573118824547186,0.10195845196961639,0.0,24470.028472707934,0.02996822526475232,5
scaling_attack,logreg,0.0,0.5932431059675991,0.0,0.8610308119445259,0.0,0.18356098400776238,0.0,44054.63616186297,0.012001829573077811,5
scaling_attack,logreg,0.01,0.5917704875934603,0.0014726183741387232,0.8598808534076605,0.0011499585368654585,0.18356098400776238,0.0,44054.63616186297,0.011993262014670993,5
scaling_attack,logreg,0.05,0.5784661894659283,0.014776916501670744,0.8486466564058904,0.0123841555386355,0.18356098400776238,0.0,44054.63616186297,0.011890389489549642,5
scaling_attack,logreg,0.1,0.555143224970016,0.038099880997583026,0.828907079493398,0.03212373245112794,0.18356098400776238,0.0,44054.63616186297,0.01170979456745096,5
scaling_attack,logreg,0.25,0.5016187551558079,0.09162435081179114,0.7314508602755965,0.1295799516689295,0.18356098400776238,0.0,44054.63616186297,0.01082987197625645,5
scaling_attack,logreg,0.5,0.4310725475550015,0.16217055841259748,0.614649293325324,0.24638151861920185,0.18356098400776238,0.0,44054.63616186297,0.010010458564846171,5
scaling_attack,mlp,0.0,0.700036070449301,0.0,0.9516921643108198,0.0,0.45284118450077393,0.0,108681.88428018575,0.004727885854196758,5
scaling_attack,mlp,0.01,0.6999978913621331,3.8179087167899975e-05,0.9516906796687719,1.4846420478553668e-06,0.45284118450077393,0.0,108681.88428018575,0.004727903440128771,5
scaling_attack,mlp,0.05,0.701281510437062,-0.0012454399877609656,0.9527897755377428,-0.0010976112269230009,0.45284118450077393,0.0,108681.88428018575,0.004734898687974331,5
