model,split_seed,tau,tp,fp,fn,tn
rf,101,0.83,366,0,56,167
rf,101,0.84,359,0,63,167
rf,101,0.85,357,0,65,167
rf,101,0.86,352,0,70,167
rf,101,0.87,345,0,77,167
rf,101,0.88,333,0,89,167
rf,101,0.89,320,0,102,167
rf,101,0.9,310,0,112,167
rf,101,0.91,300,0,122,167
rf,101,0.92,291,0,131,167
rf,101,0.93,277,0,145,167
rf,101,0.94,256,0,166,167
rf,101,0.95,227,0,195,167
rf,101,0.96,206,0,216,167
rf,101,0.97,179,0,243,167
rf,101,0.98,147,0,275,167
rf,101,0.99,101,0,321,167
rf,101,0.995,67,0,355,167
rf,101,0.999,42,0,380,167
rf,101,0.9995,42,0,380,167
xgboost,101,0.01,422,53,0,114
xgboost,101,0.02,422,35,0,132
xgboost,101,0.03,421,21,1,146
xgboost,101,0.04,421,18,1,149
xgboost,101,0.05,421,17,1,150
xgboost,101,0.06,421,15,1,152
xgboost,101,0.07,420,14,2,153
xgboost,101,0.08,419,14,3,153
xgboost,101,0.09,419,12,3,155
xgboost,101,0.1,419,11,3,156
xgboost,101,0.11,419,11,3,156
xgboost,101,0.12,419,10,3,157
xgboost,101,0.13,419,8,3,159
xgboost,101,0.14,419,7,3,160
xgboost,101,0.15,419,7,3,160
xgboost,101,0.16,419,7,3,160
xgboost,101,0.17,419,7,3,160
xgboost,101,0.18,419,7,3,160
xgboost,101,0.19,419,6,3,161
xgboost,101,0.2,419,5,3,162
xgboost,101,0.21,419,5,3,162
xgboost,101,0.22,419,5,3,162
xgboost,101,0.23,419,5,3,162
xgboost,101,0.24,418,5,4,162
xgboost,101,0.25,418,5,4,162
xgboost,101,0.26,418,5,4,162
xgboost,101,0.27,418,4,4,163
xgboost,101,0.28,418,4,4,163
xgboost,101,0.29,417,4,5,163
xgboost,101,0.3,417,4,5,163
xgboost,101,0.31,417,4,5,163
xgboost,101,0.32,416,4,6,163
xgboost,101,0.33,415,4,7,163
xgboost,101,0.34,415,4,7,163
xgboost,101,0.35,414,3,8,164
xgboost,101,0.36,414,3,8,164
xgboost,101,0.37,414,3,8,164
xgboost,101,0.38,414,3,8,164
xgboost,101,0.39,414,3,8,164
xgboost,101,0.4,414,3,8,164
xgboost,101,0.41,414,3,8,164
xgboost,101,0.42,414,3,8,164
xgboost,101,0.43,414,3,8,164
xgboost,101,0.44,414,3,8,164
xgboost,101,0.45,414,3,8,164
xgboost,101,0.46,414,3,8,164
xgboost,101,0.47,414,3,8,164
xgboost,101,0.48,414,3,8,164
xgboost,101,0.49,414,3,8,164
xgboost,101,0.5,414,3,8,164
xgboost,101,0.51,414,2,8,165
xgboost,101,0.52,413,2,9,165
xgboost,101,0.53,413,2,9,165
xgboost,101,0.54,413,2,9,165
xgboost,101,0.55,412,2,10,165
xgboost,101,0.56,412,2,10,165
xgboost,101,0.57,412,2,10,165
xgboost,101,0.58,412,2,10,165
xgboost,101,0.59,412,2,10,165
xgboost,101,0.6,412,1,10,166
xgboost,101,0.61,412,1,10,166
xgboost,101,0.62,412,1,10,166
xgboost,101,0.63,412,1,10,166
xgboost,101,0.64,412,1,10,166
xgboost,101,0.65,412,1,10,166
xgboost,101,0.66,412,1,10,166
xgboost,101,0.67,412,1,10,166
xgboost,101,0.68,412,1,10,166
xgboost,101,0.69,411,1,11,166
xgboost,101,0.7,411,1,11,166
xgboost,101,0.71,411,1,11,166
xgboost,101,0.72,409,1,13,166
xgboost,101,0.73,407,1,15,166
xgboost,101,0.74,407,1,15,166
xgboost,101,0.75,407,1,15,166
xgboost,101,0.76,406,1,16,166
xgboost,101,0.77,406,1,16,166
xgboost,101,0.78,406,1,16,166
xgboost,101,0.79,406,0,16,167
xgboost,101,0.8,406,0,16,167
xgboost,101,0.81,406,0,16,167
xgboost,101,0.82,405,0,17,167
xgboost,101,0.83,405,0,17,167
xgboost,101,0.84,405,0,17,167
xgboost,101,0.85,405,0,17,167
xgboost,101,0.86,404,0,18,167
xgboost,101,0.87,403,0,19,167
xgboost,101,0.88,401,0,21,167
xgboost,101,0.89,400,0,22,167
xgboost,101,0.9,400,0,22,167
xgboost,101,0.91,398,0,24,167
xgboost,101,0.92,394,0,28,167
xgboost,101,0.93,392,0,30,167
xgboost,101,0.94,386,0,36,167
xgboost,101,0.95,384,0,38,167
xgboost,101,0.96,378,0,44,167
xgboost,101,0.97,365,0,57,167
xgboost,101,0.98,352,0,70,167
xgboost,101,0.99,332,0,90,167
xgboost,101,0.995,304,0,118,167
xgboost,101,0.999,124,0,298,167
xgboost,101,0.9995,69,0,353,167
hgb,101,0.01,418,9,4,158
hgb,101,0.02,418,8,4,159
hgb,101,0.03,418,7,4,160
hgb,101,0.04,418,6,4,161
hgb,101,0.05,418,5,4,162
hgb,101,0.06,418,5,4,162
hgb,101,0.07,418,4,4,163
hgb,101,0.08,418,4,4,163
hgb,101,0.09,418,4,4,163
hgb,101,0.1,418,4,4,163
hgb,101,0.11,418,4,4,163
hgb,101,0.12,418,4,4,163
hgb,101,0.13,418,4,4,163
hgb,101,0.14,418,4,4,163
hgb,101,0.15,418,4,4,163
hgb,101,0.16,418,3,4,164
hgb,101,0.17,418,2,4,165
hgb,101,0.18,418,2,4,165
hgb,101,0.19,418,2,4,165
hgb,101,0.2,418,2,4,165
hgb,101,0.21,418,2,4,165
hgb,101,0.22,418,2,4,165
hgb,101,0.23,418,2,4,165
hgb,101,0.24,418,2,4,165
hgb,101,0.25,418,2,4,165
hgb,101,0.26,418,2,4,165
hgb,101,0.27,418,2,4,165
hgb,101,0.28,418,2,4,165
hgb,101,0.29,418,2,4,165
hgb,101,0.3,418,2,4,165
hgb,101,0.31,418,2,4,165
hgb,101,0.32,418,2,4,165
hgb,101,0.33,418,2,4,165
hgb,101,0.34,418,2,4,165
hgb,101,0.35,418,2,4,165
hgb,101,0.36,418,2,4,165
hgb,101,0.37,418,2,4,165
hgb,101,0.38,417,2,5,165
hgb,101,0.39,417,2,5,165
hgb,101,0.4,417,2,5,165
hgb,101,0.41,417,2,5,165
hgb,101,0.42,417,2,5,165
hgb,101,0.43,417,2,5,165
hgb,101,0.44,417,2,5,165
hgb,101,0.45,417,2,5,165
hgb,101,0.46,417,2,5,165
hgb,101,0.47,417,2,5,165
hgb,101,0.48,416,2,6,165
hgb,101,0.49,416,2,6,165
hgb,101,0.5,416,2,6,165
hgb,101,0.51,416,2,6,165
hgb,101,0.52,416,2,6,165
hgb,101,0.53,416,2,6,165
hgb,101,0.54,416,2,6,165
hgb,101,0.55,416,2,6,165
hgb,101,0.56,416,2,6,165
hgb,101,0.57,416,2,6,165
hgb,101,0.58,416,2,6,165
hgb,101,0.59,416,2,6,165
hgb,101,0.6,416,1,6,166
hgb,101,0.61,416,1,6,166
hgb,101,0.62,416,1,6,166
hgb,101,0.63,415,1,7,166
hgb,101,0.64,415,1,7,166
hgb,101,0.65,415,1,7,166
hgb,101,0.66,415,1,7,166
hgb,101,0.67,415,1,7,166
hgb,101,0.68,415,1,7,166
hgb,101,0.69,414,1,8,166
hgb,101,0.7,414,1,8,166
hgb,101,0.71,414,1,8,166
hgb,101,0.72,414,1,8,166
hgb,101,0.73,414,1,8,166
hgb,101,0.74,414,1,8,166
hgb,101,0.75,414,1,8,166
hgb,101,0.76,414,1,8,166
hgb,101,0.77,414,1,8,166
hgb,101,0.78,413,1,9,166
hgb,101,0.79,413,1,9,166
hgb,101,0.8,412,1,10,166
hgb,101,0.81,412,1,10,166
hgb,101,0.82,412,1,10,166
hgb,101,0.83,412,1,10,166
hgb,101,0.84,412,1,10,166
hgb,101,0.85,412,1,10,166
hgb,101,0.86,412,1,10,166
hgb,101,0.87,412,1,10,166
hgb,101,0.88,411,1,11,166
hgb,101,0.89,411,1,11,166
hgb,101,0.9,411,1,11,166
hgb,101,0.91,411,1,11,166
hgb,101,0.92,411,1,11,166
hgb,101,0.93,411,1,11,166
hgb,101,0.94,411,1,11,166
hgb,101,0.95,410,1,12,166
hgb,101,0.96,410,1,12,166
hgb,101,0.97,410,1,12,166
hgb,101,0.98,410,1,12,166
hgb,101,0.99,407,1,15,166
hgb,101,0.995,403,1,19,166
hgb,101,0.999,391,0,31,167
hgb,101,0.9995,387,0,35,167
mlp,101,0.01,415,69,7,98
