model,split_seed,background,background__n,benign,benign__n,icmp_flood,icmp_flood__n,pfcp_deletion,pfcp_deletion__n,syn_flood,syn_flood__n
rf,108,0.8503144119646499,23536,0.19282392026578074,15050,1.0,156,0.9902912621359223,103,1.0,580
xgboost,108,0.7896838885112168,23536,0.27149501661129566,15050,1.0,156,0.970873786407767,103,1.0,580
hgb,108,0.7938902107409925,23536,0.2567441860465116,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,108,0.604138341264446,23536,0.2722923588039867,15050,0.0,156,0.9805825242718447,103,1.0,580
majority,109,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,109,0.9428959891230455,23536,0.05900332225913621,15050,0.9423076923076923,156,0.941747572815534,103,0.9396551724137931,580
logreg,109,0.21371515975526853,23536,0.9110299003322259,15050,0.0,156,0.0,103,1.0,580
tree,109,0.6419527532290958,23536,0.2307641196013289,15050,1.0,156,0.9805825242718447,103,1.0,580
rf,109,0.676792997960571,23536,0.1836544850498339,15050,1.0,156,1.0,103,1.0,580
xgboost,109,0.7913409245411285,23536,0.2542857142857143,15050,1.0,156,0.970873786407767,103,1.0,580
hgb,109,0.21838885112168593,23536,0.959734219269103,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,109,0.030931339225016997,23536,0.9415282392026578,15050,0.0,156,0.0,103,1.0,580
majority,110,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,110,0.9239462950373896,23536,0.07647840531561462,15050,0.9294871794871795,156,0.9320388349514563,103,0.9206896551724137,580
logreg,110,0.21392760027192387,23536,0.9146843853820598,15050,1.0,156,0.0,103,1.0,580
tree,110,0.8040023793337865,23536,0.2558139534883721,15050,1.0,156,0.6116504854368932,103,1.0,580
rf,110,0.8587695445275323,23536,0.18259136212624585,15050,1.0,156,0.9902912621359223,103,1.0,580
xgboost,110,0.7907885791978246,23536,0.2718936877076412,15050,1.0,156,0.970873786407767,103,1.0,580
hgb,110,0.7937202583276682,23536,0.2690365448504983,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,110,0.2103585995921142,23536,0.9281727574750831,15050,1.0,156,0.019417475728155338,103,1.0,580
majority,111,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,111,0.9395819170632222,23536,0.062259136212624584,15050,0.9423076923076923,156,0.941747572815534,103,0.9344827586206896,580
logreg,111,0.21371515975526853,23536,0.9132225913621262,15050,0.0,156,0.0,103,1.0,580
tree,111,0.6653636981645139,23536,0.20717607973421928,15050,1.0,156,1.0,103,1.0,580
rf,111,0.8362083616587356,23536,0.1782059800664452,15050,1.0,156,1.0,103,1.0,580
xgboost,111,0.789131543167913,23536,0.2708970099667774,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,111,0.7928704962610469,23536,0.261063122923588,15050,1.0,156,0.9805825242718447,103,1.0,580
mlp,111,0.7850101971447995,23536,0.2429235880398671,15050,0.0,156,0.6019417475728155,103,1.0,580
majority,112,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,112,0.9391145479265806,23536,0.06259136212624584,15050,0.9423076923076923,156,0.941747572815534,103,0.9344827586206896,580
logreg,112,0.7879418762746431,23536,0.2549501661129568,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,112,0.9805829367777023,23536,0.07023255813953488,15050,1.0,156,0.9805825242718447,103,1.0,580
rf,112,0.994943915703603,23536,0.06318936877076411,15050,1.0,156,0.9805825242718447,103,1.0,580
xgboost,112,0.6341774303195106,23536,0.24205980066445182,15050,1.0,156,0.8640776699029126,103,1.0,580
hgb,112,0.8224847042828008,23536,0.25667774086378736,15050,1.0,156,0.3883495145631068,103,1.0,580
mlp,112,0.026342624065261725,23536,0.9506312292358804,15050,0.0,156,0.9514563106796117,103,1.0,580
majority,113,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,113,0.9249660095173351,23536,0.07514950166112956,15050,0.9294871794871795,156,0.9320388349514563,103,0.9206896551724137,580
