seed,model,calibrator,domain,oracle,brier,ece,f1_macro,recall,fpr,precision,pr_auc,roc_auc,ppv_deploy,alerts_per_hour,mean_score
102,logreg,platt,target,False,0.3412700301929584,0.33610182998017674,0.37775697758799454,1.0,1.0,0.6070891339587742,0.8289950153774788,0.774903278319381,0.002,240480.9619238477,0.943190963938951
102,logreg,platt+prior_ORACLE,target,True,0.20350464097885132,0.13522891889621974,0.43208428000899984,0.9596072900875564,0.9347024297938611,0.6133435739532661,0.8289950153774788,0.774903278319381,0.0020531799754467963,224790.11771890544,0.6234284111108621
102,logreg,isotonic,source_test,False,0.07183139601873084,0.08105246359106619,0.47131782945736433,1.0,1.0,0.8914956011730205,0.9749527646636982,0.8925297477929056,0.002,240480.9619238477,0.9678649353217114
102,logreg,isotonic,target,False,0.2900337819914809,0.31308886144762743,0.3817294322917862,1.0,0.9963515414371117,0.6079606571203133,0.7628869411274196,0.7314038158228757,0.0020073089363100887,239605.3318687545,0.8999097221579362
102,logreg,isotonic+prior_ORACLE,target,True,0.1909096215445583,0.2777950329097717,0.6378840180479597,0.9532766242228915,0.6651518830483781,0.6889001802373337,0.7628869411274196,0.7314038158228757,0.0028638616205058525,160094.94169075604,0.5611500376565478
102,logreg,temperature,source_test,False,0.12632230860146298,0.2032221402478914,0.7925970979233643,0.9060150375939849,0.1583011583011583,0.979177247333672,0.9832614237812556,0.9000939043232277,0.011339604430037682,38428.03672779413,0.6969877937888159
102,logreg,temperature,target,False,0.4151199745382734,0.4222163474202652,0.5445810224185135,0.2963965465154243,0.02391069544685768,0.9503798722030851,0.8289943594001059,0.7749020742379472,0.024239497921659192,5881.122360479714,0.18598159750092086
102,tree,raw,source_test,False,0.11443828870786445,0.1127889656258147,0.6878939159795614,0.9348370927318296,0.5637065637065637,0.9316266000624415,0.9302985602511233,0.6859616060743882,0.003312389190009118,135739.1963361798,0.9001980473611982
102,tree,raw,target,False,0.409209731198664,0.412413328334522,0.43470180438943806,0.8810463413411582,0.9010185541805517,0.6017296511089975,0.6023054790499232,0.4895092304602663,0.001955754180625581,216668.2027466628,0.9026795789950122
102,tree,platt,source_test,False,0.10735565048752234,0.10929852013934369,0.47131782945736433,1.0,1.0,0.8914956011730205,0.9302958337604784,0.6859487038058467,0.002,240480.9619238477,0.996449795021663
102,tree,platt,target,False,0.39019683665876437,0.3905218662588844,0.37775697758799454,1.0,1.0,0.6070891339587742,0.6023041683746003,0.48950652823168006,0.002,240480.9619238477,0.9964869584188188
102,tree,platt+prior_ORACLE,target,True,0.364791994844071,0.36755351533819397,0.37775697758799454,1.0,1.0,0.6070891339587742,0.6023041683746003,0.48950652823168006,0.002,240480.9619238477,0.9615889090175133
102,tree,isotonic,source_test,False,0.10643873605658823,0.10861497604665005,0.47131782945736433,1.0,1.0,0.8914956011730205,0.915300665389717,0.6197183354138242,0.002,240480.9619238477,0.9957256999564341
102,tree,isotonic,target,False,0.3903931374829512,0.3911022653651987,0.37775697758799454,1.0,1.0,0.6070891339587742,0.6097638479158205,0.505581183457778,0.002,240480.9619238477,0.996946949978551
102,tree,isotonic+prior_ORACLE,target,True,0.36743972000030434,0.37583610442561793,0.37775697758799454,1.0,1.0,0.6070891339587742,0.6097638479158205,0.505581183457778,0.002,240480.9619238477,0.9669292202749945
102,tree,temperature,source_test,False,0.09566019874129854,0.1530923438301243,0.6878939159795614,0.9348370927318296,0.5637065637065637,0.9316266000624415,0.9302958337604784,0.6859487038058467,0.003312389190009118,135739.1963361798,0.8332966291875579
102,tree,temperature,target,False,0.32431805126471036,0.34495899729234925,0.43470180438943806,0.8810463413411582,0.9010185541805517,0.6017296511089975,0.6023041683746003,0.48950652823168006,0.001955754180625581,216668.2027466628,0.8434667982670427
