seed,model,calibrator,domain,tau,recall,fpr,ppv_deploy,alerts_per_hour
101,logreg,isotonic,source_test,0.7500000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.8,0.9681427925892454,0.2914572864321608,0.006612756523541716,70415.38856380159
101,logreg,isotonic,source_test,0.8500000000000001,0.5776472360295225,0.08165829145728644,0.01397810897889027,19875.816275694808
101,logreg,isotonic,source_test,0.9000000000000001,0.5776472360295225,0.08165829145728644,0.01397810897889027,19875.816275694808
101,logreg,isotonic,source_test,0.9500000000000001,0.5774966109353818,0.08165829145728644,0.01397451503581731,19875.74383075975
101,logreg,isotonic,source_test,0.95,0.5774966109353818,0.08165829145728644,0.01397451503581731,19875.74383075975
101,logreg,isotonic,source_test,0.99,0.5650700406687754,0.04648241206030151,0.023782615656700288,11427.556068341111
101,logreg,isotonic,source_test,0.995,0.5650700406687754,0.04648241206030151,0.023782615656700288,11427.556068341111
101,logreg,isotonic,source_test,0.999,0.5650700406687754,0.04648241206030151,0.023782615656700288,11427.556068341111
101,logreg,isotonic,target,0.05,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.1,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.15000000000000002,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.2,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.25,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.3,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.35000000000000003,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.4,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.45,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.5,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.55,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.6000000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.6500000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.7000000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.7500000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,target,0.8,0.915476872680867,0.8595751628514493,0.00212979121144932,206738.3486022705
101,logreg,isotonic,target,0.8500000000000001,0.14741523776236093,0.01890793241455532,0.015383839837191597,4608.804895851927
101,logreg,isotonic,target,0.9000000000000001,0.14740304516814265,0.01890793241455532,0.015382587024902491,4608.799031678355
101,logreg,isotonic,target,0.9500000000000001,0.14738814310854254,0.018903746001975988,0.015384409681611316,4607.787125336061
101,logreg,isotonic,target,0.95,0.14738814310854254,0.018903746001975988,0.015384409681611316,4607.787125336061
101,logreg,isotonic,target,0.99,0.14491846541299702,0.018016226535157494,0.01586406342830719,4393.594632363889
101,logreg,isotonic,target,0.995,0.14491033701685152,0.018016226535157494,0.01586318773697795,4393.590722914841
101,logreg,isotonic,target,0.999,0.14489814442263324,0.018016226535157494,0.015861874197062108,4393.584858741269
101,logreg,temperature,source_test,0.05,0.9902093688808555,0.5339195979899497,0.0037028788112589074,128616.95652065688
101,logreg,temperature,source_test,0.1,0.985012803133002,0.46608040201005024,0.004217402200324627,112333.05013522152
101,logreg,temperature,source_test,0.15000000000000002,0.9734899834312396,0.3391959798994975,0.005718597911183579,81875.24679115695
101,logreg,temperature,source_test,0.2,0.9679168549480344,0.2914572864321608,0.006611223492477011,70415.279896399
101,logreg,temperature,source_test,0.25,0.959481849676156,0.26884422110552764,0.007101342120496567,64984.08730164382
101,logreg,temperature,source_test,0.3,0.9502937189335743,0.25879396984924624,0.007304979540019508,62567.60785909777
101,logreg,temperature,source_test,0.35000000000000003,0.9461515288447055,0.25125628140703515,0.0074899365877499,60756.570397253025
101,logreg,temperature,source_test,0.4,0.9449465280915801,0.24371859296482412,0.007710039856490326,58946.94561164192
101,logreg,temperature,source_test,0.45,0.9365868353667721,0.23366834170854273,0.00796843652129514,56530.86461623868
101,logreg,temperature,source_test,0.5,0.935231209519506,0.228643216080402,0.008130451852396232,55324.18246106939
101,logreg,temperature,source_test,0.55,0.9324446452779033,0.228643216080402,0.008106423177097857,55322.842229770824
101,logreg,temperature,source_test,0.6000000000000001,0.9165536978460611,0.21733668341708542,0.008380489685864655,52601.63144992626
101,logreg,temperature,source_test,0.6500000000000001,0.9016418135261335,0.21231155778894473,0.008438774789948962,51388.42925060179
101,logreg,temperature,source_test,0.7000000000000001,0.8986293116433198,0.21105527638190955,0.008460457714187186,51085.47281421219
101,logreg,temperature,source_test,0.7500000000000001,0.8648139780087363,0.20854271356783918,0.008242004456730394,50466.19385091486
101,logreg,temperature,source_test,0.8,0.8300948938093087,0.20477386934673367,0.008058214900606236,49544.97268031876
101,logreg,temperature,source_test,0.8500000000000001,0.6629763518602199,0.19597989949748743,0.00673366763281522,47354.042261053204
101,logreg,temperature,source_test,0.9000000000000001,0.5784003615002259,0.0942211055276382,0.01215261305095079,22891.25387725452
101,logreg,temperature,source_test,0.9500000000000001,0.5153637596023497,0.038944723618090454,0.02583434865548486,9594.604013641436
101,logreg,temperature,source_test,0.95,0.5153637596023497,0.038944723618090454,0.02583434865548486,9594.604013641436
101,logreg,temperature,source_test,0.99,0.02583220364512728,0.001256281407035176,0.03957644500815365,313.9318440508281
101,logreg,temperature,source_test,0.995,0.013932821208013256,0.001256281407035176,0.021742269505514705,308.2086941812742
101,logreg,temperature,source_test,0.999,0.006853441783401115,0.0,1.0,3.296244545122781
101,logreg,temperature,target,0.05,0.9985328244957347,0.9286865549173602,0.002150096053444013,223365.02944846096
101,logreg,temperature,target,0.1,0.9914570556510642,0.8729486578361271,0.0022708962926337177,209984.5309735688
101,logreg,temperature,target,0.15000000000000002,0.9715560324214627,0.8620639851298625,0.00225345058895295,207362.63788964626
101,logreg,temperature,target,0.2,0.9145150124703144,0.859426545204883,0.0021279254019399146,206702.21774895728
101,logreg,temperature,target,0.25,0.6598117192506161,0.34639633605171055,0.0038026955105072593,83452.46496627857
