feature_set,protocol,split,model,n_train,n_test,test_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier,det_background,det_benign,det_icmp_flood,det_pfcp_deletion,det_syn_flood
shared18,leave_one_file,005-icmp-flood.csv,stratified,30905,8520,0.018309859154929577,0.5,5,159,8205,151,0.9636150234741784,0.5065206195048375,0.03048780487804878,0.03205128205128205,0.03125,0.5063546650717703,0.012725270590792431,0.019010043041606885,0.967948717948718,0.9809899569583931,0.5065206195048375,0.018700177928106472,0.9819246090789053,0.036384976525821594,0.9809499937335505,0.9818181818181818,0.03205128205128205,,
shared18,leave_one_file,005-icmp-flood.csv,logreg,30905,8520,0.018309859154929577,0.5,156,78,8286,0,0.9908450704225352,0.9953371592539455,0.6666666666666666,1.0,0.8,0.8976576576576577,0.8126804696016309,0.009325681492109038,0.0,0.990674318507891,0.996832809108634,0.6876087280280947,0.9999416585528244,0.008254205842780093,0.9963654593307432,0.8727272727272728,1.0,,
shared18,leave_one_file,005-icmp-flood.csv,tree,30905,8520,0.018309859154929577,0.5,156,29,8335,0,0.9965962441314554,0.9982663797226208,0.8432432432432433,1.0,0.9149560117302052,0.9566096903971105,0.91668943272667,0.0034672405547584886,0.0,0.9965327594452416,0.9982663797226208,0.8432432432432433,0.9999365153137861,0.003403755868544601,0.9963654593307432,1.0,1.0,,
shared18,leave_one_file,005-icmp-flood.csv,rf,30905,8520,0.018309859154929577,0.5,0,22,8342,156,0.9791079812206572,0.49868483978957434,0.0,0.0,0.0,0.49472185980310757,-0.006948775233659302,0.0026303204208512673,1.0,0.9973696795791487,0.9967737955094482,0.8380843861613093,0.9999364750531085,0.007738049283920363,0.9972427622509087,1.0,0.0,,
shared18,leave_one_file,005-icmp-flood.csv,xgboost,30905,8520,0.018309859154929577,0.5,0,25,8339,156,0.978755868544601,0.49850549976088,0.0,0.0,0.0,0.4946319473278368,-0.007408727133623477,0.0029890004782400764,1.0,0.99701099952176,0.996690639983323,0.7869241557881109,0.9999353401996514,0.007517665158957243,0.9969921042737185,0.9974025974025974,0.0,,
shared18,leave_one_file,005-icmp-flood.csv,hgb,30905,8520,0.018309859154929577,0.5,156,27,8337,0,0.9968309859154929,0.9983859397417504,0.8524590163934426,1.0,0.9203539823008849,0.9593686563201929,0.9217956259134387,0.0032281205164992827,0.0,0.9967718794835008,0.9985671957963924,0.9123474564651035,0.9999693878482788,0.0031584902714255412,0.9966161173079333,1.0,1.0,,
shared18,leave_one_file,005-icmp-flood.csv,mlp,30905,8520,0.018309859154929577,0.5,156,30,8334,0,0.9964788732394366,0.998206599713056,0.8387096774193549,1.0,0.9122807017543859,0.9552420397022019,0.9141670487755844,0.003586800573888092,0.0,0.996413199426112,0.996830509877497,0.6870645180664692,0.9999416180119552,0.00353290350176394,0.9963654593307432,0.9974025974025974,1.0,,
native,random,seed101,majority,27597,11828,0.021305377071356105,0.5,0,0,11576,252,0.9786946229286438,0.5,0.0,0.0,0.0,0.4946163049051444,0.0,0.0,1.0,1.0,0.5,0.021305377071356105,0.9786946229286438,0.021305377071356105,1.0,1.0,0.0,0.0,0.0
native,random,seed101,stratified,27597,11828,0.021305377071356105,0.5,5,218,11358,247,0.9606865065945215,0.5005046017485547,0.02242152466367713,0.01984126984126984,0.021052631578947368,0.5004965500330353,0.0010714780343719743,0.01883206634416033,0.9801587301587301,0.9811679336558397,0.5005046017485547,0.021327522856918028,0.9787156667541138,0.039313493405478524,0.9806129722024234,0.9820214865161149,0.0,0.04,0.022222222222222223
native,random,seed101,logreg,27597,11828,0.021305377071356105,0.5,250,18,11558,2,0.9983090970578289,0.9952542754028587,0.9328358208955224,0.9920634920634921,0.9615384615384616,0.9803370039365891,0.9611506067383512,0.0015549412577747063,0.007936507936507936,0.9984450587422253,0.9990435877184322,0.9294081331451622,0.9999765393722345,0.001784107563595049,0.9980042765502495,0.9991229993422495,1.0,0.92,1.0
native,random,seed101,tree,27597,11828,0.021305377071356105,0.5,251,9,11567,1,0.9991545485289144,0.9976271377014294,0.9653846153846154,0.996031746031746,0.98046875,0.9900183362858624,0.9801617880477982,0.0007774706288873532,0.003968253968253968,0.9992225293711127,0.997699639922774,0.9702725107161252,0.9999036016086081,0.0008411138150565743,0.9988595866001425,0.9997807498355624,1.0,0.96,1.0
native,random,seed101,rf,27597,11828,0.021305377071356105,0.5,251,9,11567,1,0.9991545485289144,0.9976271377014294,0.9653846153846154,0.996031746031746,0.98046875,0.9900183362858624,0.9801617880477982,0.0007774706288873532,0.003968253968253968,0.9992225293711127,0.9996993643114929,0.9759346748663695,0.9999906084972091,0.0007837284731563104,0.9988595866001425,0.9997807498355624,1.0,0.96,1.0
native,random,seed101,xgboost,27597,11828,0.021305377071356105,0.5,251,9,11567,1,0.9991545485289144,0.9976271377014294,0.9653846153846154,0.996031746031746,0.98046875,0.9900183362858624,0.9801617880477982,0.0007774706288873532,0.003968253968253968,0.9992225293711127,0.999680853106043,0.9766802459364325,0.9999902000226026,0.000816262501757592,0.9988595866001425,0.9997807498355624,1.0,0.96,1.0
native,random,seed101,hgb,27597,11828,0.021305377071356105,0.5,251,9,11567,1,0.9991545485289144,0.9976271377014294,0.9653846153846154,0.996031746031746,0.98046875,0.9900183362858624,0.9801617880477982,0.0007774706288873532,0.003968253968253968,0.9992225293711127,0.9997473563256218,0.9804172765373851,0.999991624600193,0.0008133507688362166,0.9988595866001425,0.9997807498355624,1.0,0.96,1.0
native,random,seed101,mlp,27597,11828,0.021305377071356105,0.5,251,9,11567,1,0.9991545485289144,0.9976271377014294,0.9653846153846154,0.996031746031746,0.98046875,0.9900183362858624,0.9801617880477982,0.0007774706288873532,0.003968253968253968,0.9992225293711127,0.9996458874957492,0.9775485533271624,0.9999894019219947,0.0009201772002835278,0.9988595866001425,0.9997807498355624,1.0,0.96,1.0
native,random,seed102,majority,27597,11828,0.021305377071356105,0.5,0,0,11576,252,0.9786946229286438,0.5,0.0,0.0,0.0,0.4946163049051444,0.0,0.0,1.0,1.0,0.5,0.021305377071356105,0.9786946229286438,0.021305377071356105,1.0,1.0,0.0,0.0,0.0
native,random,seed102,stratified,27597,11828,0.021305377071356105,0.5,4,219,11357,248,0.9605174163003044,0.4984772819517118,0.017937219730941704,0.015873015873015872,0.016842105263157894,0.49834814809769346,-0.0032333596662230367,0.01891845196959226,0.9841269841269841,0.9810815480304077,0.49847728195171176,0.021251914256428896,0.9786311253452822,0.039482583699695636,0.9810271041369473,0.9811651335961454,0.021739130434782608,0.038461538461538464,0.011111111111111112
native,random,seed102,logreg,27597,11828,0.021305377071356105,0.5,250,29,11547,2,0.9973791004396347,0.9947791544629832,0.8960573476702509,0.9920634920634921,0.9416195856873822,0.9701395225734208,0.9415570225621872,0.002505183137525916,0.007936507936507936,0.9974948168624741,0.9916253935345161,0.9579414126069357,0.9994216234776716,0.002167214644682987,0.9981455064194008,0.9964958388085852,1.0,0.9230769230769231,1.0
native,random,seed102,tree,27597,11828,0.021305377071356105,0.5,250,9,11567,2,0.9990700033818058,0.9956430107173024,0.9652509652509652,0.9920634920634921,0.9784735812133072,0.9889991582886584,0.9780942795440084,0.0007774706288873532,0.007936507936507936,0.9992225293711127,0.9955487406895493,0.9491912798673356,0.9998132086895888,0.0009293246805677882,0.9990014265335235,0.9995619798510732,1.0,0.9230769230769231,1.0
native,random,seed102,rf,27597,11828,0.021305377071356105,0.5,250,9,11567,2,0.9990700033818058,0.9956430107173024,0.9652509652509652,0.9920634920634921,0.9784735812133072,0.9889991582886584,0.9780942795440084,0.0007774706288873532,0.007936507936507936,0.9992225293711127,0.995440244457608,0.9690842070080156,0.9998051098120162,0.0008725393335575174,0.9990014265335235,0.9995619798510732,1.0,0.9230769230769231,1.0
native,random,seed102,xgboost,27597,11828,0.021305377071356105,0.5,250,9,11567,2,0.9990700033818058,0.9956430107173024,0.9652509652509652,0.9920634920634921,0.9784735812133072,0.9889991582886584,0.9780942795440084,0.0007774706288873532,0.007936507936507936,0.9992225293711127,0.998962686894615,0.9777337057417249,0.999974086148476,0.0009284143452532589,0.9990014265335235,0.9995619798510732,1.0,0.9230769230769231,1.0
native,random,seed102,hgb,27597,11828,0.021305377071356105,0.5,250,9,11567,2,0.9990700033818058,0.9956430107173024,0.9652509652509652,0.9920634920634921,0.9784735812133072,0.9889991582886584,0.9780942795440084,0.0007774706288873532,0.007936507936507936,0.9992225293711127,0.998291141496912,0.9627613203177252,0.9999581841094138,0.0009292423068374048,0.9990014265335235,0.9995619798510732,1.0,0.9230769230769231,1.0
native,random,seed102,mlp,27597,11828,0.021305377071356105,0.5,250,7,11569,2,0.999239093676023,0.9957293963427343,0.9727626459143969,0.9920634920634921,0.9823182711198428,0.9909647259172032,0.9819789757895377,0.0006046993780234969,0.007936507936507936,0.9993953006219765,0.991858154803041,0.9694892282258046,0.9990919059777329,0.001025061586313753,0.9990014265335235,1.0,1.0,0.9230769230769231,1.0
native,random,seed103,majority,27597,11828,0.021305377071356105,0.5,0,0,11576,252,0.9786946229286438,0.5,0.0,0.0,0.0,0.4946163049051444,0.0,0.0,1.0,1.0,0.5,0.021305377071356105,0.9786946229286438,0.021305377071356105,1.0,1.0,0.0,0.0,0.0
native,random,seed103,stratified,27597,11828,0.021305377071356105,0.5,3,220,11356,249,0.9603483260060872,0.49644996215486886,0.013452914798206279,0.011904761904761904,0.01263157894736842,0.4961997461623517,-0.007538197366818047,0.019004837595024186,0.9880952380952381,0.9809951624049759,0.49644996215486886,0.021211895377628135,0.9785465988241068,0.03965167399391275,0.9803724928366763,0.981940818102698,0.0392156862745098,0.0,0.005952380952380952
native,random,seed103,logreg,27597,11828,0.021305377071356105,0.5,251,20,11556,1,0.9982245519107203,0.9971520167615537,0.9261992619926199,0.996031746031746,0.9598470363288719,0.9794696211342193,0.9596028487131397,0.0017277125086385626,0.003968253968253968,0.9982722874913614,0.9989722852974409,0.9242556826926378,0.9999764469479888,0.002016460490268938,0.9981375358166189,0.9984769364664926,1.0,0.9696969696969697,1.0
native,random,seed103,tree,27597,11828,0.021305377071356105,0.5,242,4,11572,10,0.9988163679404802,0.9799859589078663,0.983739837398374,0.9603174603174603,0.9718875502008032,0.9856415037470896,0.9713566647721468,0.0003455425017277125,0.03968253968253968,0.9996544574982723,0.9800408069240136,0.9518533221802201,0.9991327177700455,0.0011832217801633139,0.9994269340974212,1.0,0.803921568627451,1.0,1.0
native,random,seed103,rf,27597,11828,0.021305377071356105,0.5,252,4,11572,0,0.9996618194115657,0.9998272287491361,0.984375,1.0,0.9921259842519685,0.9959765915730208,0.9919853106774625,0.0003455425017277125,0.0,0.9996544574982723,0.9998381983523656,0.9868178708858563,0.9999950433141636,0.0004090440571250292,0.9994269340974212,1.0,1.0,1.0,1.0
native,random,seed103,xgboost,27597,11828,0.021305377071356105,0.5,252,4,11572,0,0.9996618194115657,0.9998272287491361,0.984375,1.0,0.9921259842519685,0.9959765915730208,0.9919853106774625,0.0003455425017277125,0.0,0.9996544574982723,0.9998721355623567,0.9897942329217113,0.9999957626684659,0.00035189618938602507,0.9994269340974212,1.0,1.0,1.0,1.0
native,random,seed103,hgb,27597,11828,0.021305377071356105,0.5,252,6,11570,0,0.9994927291173487,0.9997408431237043,0.9767441860465116,1.0,0.9882352941176471,0.9939880350308273,0.988047532309109,0.0005183137525915688,0.0,0.9994816862474084,0.999840940753173,0.9859928105938,0.9999941314113159,0.000441069459199836,0.9991404011461318,1.0,1.0,1.0,1.0
native,random,seed103,mlp,27597,11828,0.021305377071356105,0.5,251,6,11570,1,0.9994081839702401,0.9977567161395773,0.9766536964980544,0.996031746031746,0.9862475442043221,0.9929725646022691,0.9859948470136144,0.0005183137525915688,0.003968253968253968,0.9994816862474084,0.9997281595199702,0.9802035857106529,0.999992664024778,0.0006098601199657738,0.9991404011461318,1.0,1.0,0.9696969696969697,1.0
native,random,seed104,majority,27597,11828,0.021305377071356105,0.5,0,0,11576,252,0.9786946229286438,0.5,0.0,0.0,0.0,0.4946163049051444,0.0,0.0,1.0,1.0,0.5,0.021305377071356105,0.9786946229286438,0.021305377071356105,1.0,1.0,0.0,0.0,0.0
native,random,seed104,stratified,27597,11828,0.021305377071356105,0.5,6,217,11359,246,0.9608555968887386,0.5025319215453977,0.026905829596412557,0.023809523809523808,0.02526315789473684,0.502644951968377,0.005376315734966985,0.018745680718728404,0.9761904761904762,0.9812543192812716,0.5025319215453976,0.02143872117909554,0.9788002230506018,0.03914440311126141,0.9809241203899958,0.9817737274949989,0.0,0.03125,0.02824858757062147
native,random,seed104,logreg,27597,11828,0.021305377071356105,0.5,250,27,11549,2,0.9975481907338519,0.994865540088415,0.9025270758122743,0.9920634920634921,0.945179584120983,0.9719628192581393,0.9450331901389902,0.0023324118866620593,0.007936507936507936,0.9976675881133379,0.9980890608374196,0.8728222830848928,0.9999570009928754,0.0025628443367589314,0.9974565493853328,0.9979995554567682,1.0,0.9375,1.0
native,random,seed104,tree,27597,11828,0.021305377071356105,0.5,248,7,11569,4,0.9990700033818058,0.9917611423744803,0.9725490196078431,0.9841269841269841,0.9783037475345168,0.9889142825106166,0.977846458779352,0.0006046993780234969,0.015873015873015872,0.9993953006219765,0.9917508583714526,0.9600577165509675,0.9996455611021469,0.0009294231880928731,0.9991521831284442,0.9997777283840854,1.0,0.875,1.0
native,random,seed104,rf,27597,11828,0.021305377071356105,0.5,250,6,11570,2,0.9993236388231316,0.9957725891554503,0.9765625,0.9920634920634921,0.984251968503937,0.9919531831460414,0.9839382442399388,0.0005183137525915688,0.007936507936507936,0.9994816862474084,0.9996059512839921,0.9711300122464421,0.9999895866765275,0.0007217872316729405,0.9991521831284442,1.0,1.0,0.9375,1.0
native,random,seed104,xgboost,27597,11828,0.021305377071356105,0.5,250,7,11569,2,0.999239093676023,0.9957293963427343,0.9727626459143969,0.9920634920634921,0.9823182711198428,0.9909647259172032,0.9819789757895377,0.0006046993780234969,0.007936507936507936,0.9993953006219765,0.9985227029650838,0.9724360398119162,0.9999641918583054,0.0007611512555740774,0.9991521831284442,0.9997777283840854,1.0,0.9375,1.0
native,random,seed104,hgb,27597,11828,0.021305377071356105,0.5,249,7,11569,3,0.9991545485289144,0.9937452693586073,0.97265625,0.9880952380952381,0.9803149606299213,0.9899414789325518,0.979914711021177,0.0006046993780234969,0.011904761904761904,0.9993953006219765,0.9959448462061625,0.9681980343560226,0.999830139197216,0.0007914453701105768,0.9991521831284442,0.9997777283840854,0.9767441860465116,0.9375,1.0
native,random,seed104,mlp,27597,11828,0.021305377071356105,0.5,250,20,11556,2,0.9981400067636118,0.9951678897774268,0.9259259259259259,0.9920634920634921,0.9578544061302682,0.9784517124452672,0.957499976837227,0.0017277125086385626,0.007936507936507936,0.9982722874913614,0.9930612117572207,0.9550057552634733,0.999800549988696,0.0017889216907387947,0.9974565493853328,0.9995554567681707,1.0,0.9375,1.0
