model,split_seed,domain,bin,mean_score,attack_freq,n
rf,102,source_heldout,4,0.8193883502913171,0.9918885389827273,10479
rf,102,source_heldout,5,0.868249122539437,0.9852085122626205,10479
rf,102,source_heldout,6,0.9735891833097975,0.9799580072532926,10478
rf,102,source_heldout,7,0.9995207826123852,0.9975186104218362,10478
rf,102,source_heldout,8,1.0,1.0,10478
rf,102,source_heldout,9,1.0,1.0,10478
rf,102,source_heldout,10,1.0,1.0,10478
rf,102,source_heldout,11,1.0,1.0,10478
rf,102,source_heldout,12,1.0,1.0,10478
rf,102,source_heldout,13,1.0,1.0,10478
rf,102,source_heldout,14,1.0,0.9980912387860279,10478
rf,102,target,0,0.12393150295107622,0.7642240315815445,81060
rf,102,target,1,0.15289571994187393,0.0,81060
rf,102,target,2,0.31547751738868235,0.43031088082901553,81060
rf,102,target,3,0.5565708073477615,0.5883789785344189,81060
rf,102,target,4,0.6935477675607787,0.9058833689041316,81059
rf,102,target,5,0.746518613166497,0.04106885108377848,81059
rf,102,target,6,0.7467132967899858,0.4558901540852959,81059
rf,102,target,7,0.7467132967899858,1.0,81059
rf,102,target,8,0.7481279473603922,0.7849591038626186,81059
rf,102,target,9,0.7900205906806917,0.9492838549698368,81059
rf,102,target,10,0.8375185114424052,0.8704400498402398,81059
rf,102,target,11,0.8375185114424052,0.00024673386052134863,81059
rf,102,target,12,0.8375185114424052,0.3825978608174293,81059
rf,102,target,13,0.8375185114424052,1.0,81059
rf,102,target,14,0.8714380473500811,0.9330611036405582,81059
xgboost,102,source_heldout,0,0.09002481400966644,0.5396507300314916,10479
xgboost,102,source_heldout,1,0.45553240180015564,0.835480484779082,10479
xgboost,102,source_heldout,2,0.7725196480751038,0.945319209848268,10479
xgboost,102,source_heldout,3,0.9633907675743103,0.9910296784044279,10479
xgboost,102,source_heldout,4,0.982000470161438,1.0,10479
xgboost,102,source_heldout,5,0.9832056164741516,0.9998091420937112,10479
xgboost,102,source_heldout,6,0.985099732875824,0.9994273716358084,10478
xgboost,102,source_heldout,7,0.9957079887390137,0.9987593052109182,10478
xgboost,102,source_heldout,8,0.9994686841964722,0.9999045619393014,10478
xgboost,102,source_heldout,9,0.9998344779014587,1.0,10478
xgboost,102,source_heldout,10,0.9999142289161682,1.0,10478
xgboost,102,source_heldout,11,0.9999539852142334,1.0,10478
xgboost,102,source_heldout,12,0.9999672174453735,1.0,10478
xgboost,102,source_heldout,13,0.9999725818634033,1.0,10478
xgboost,102,source_heldout,14,0.999973714351654,1.0,10478
xgboost,102,target,0,0.031459737569093704,0.3907475943745374,81060
xgboost,102,target,1,0.09266593307256699,0.7306439674315321,81060
xgboost,102,target,2,0.09654209762811661,0.0,81060
xgboost,102,target,3,0.15987251698970795,0.6594991364421416,81060
xgboost,102,target,4,0.4918286204338074,0.8695147978632848,81059
xgboost,102,target,5,0.6472942233085632,0.679825805894472,81059
xgboost,102,target,6,0.6472942233085632,0.00024673386052134863,81059
xgboost,102,target,7,0.6472942233085632,0.5732121047631972,81059
xgboost,102,target,8,0.6472942233085632,1.0,81059
xgboost,102,target,9,0.6867726445198059,0.9505668710445478,81059
xgboost,102,target,10,0.7526669502258301,0.998716983925289,81059
xgboost,102,target,11,0.7741516828536987,0.3374455643420225,81059
xgboost,102,target,12,0.7775148749351501,0.06754339431771919,81059
xgboost,102,target,13,0.7775148749351501,1.0,81059
xgboost,102,target,14,0.8064272403717041,0.8483820427096312,81059
