model,split_seed,domain,n_benign_train,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign
autoencoder,106,source_heldout,12711,0.10137533396482468,2020,24,3427,82324,0.0620422575317501,0.508497517019413,0.9882583170254403,0.023949539979133076,0.046765754502940224,0.06180129836310438,0.021900880361083935,0.006954505940307157,0.9760504600208669,0.9930454940596929,0.6972165179657933,0.9791247790383686,0.11276347367000464
autoencoder,106,target,12711,0.10137533396482468,39073,26507,451229,699080,0.4032456910129132,0.4987244256560491,0.595806648368405,0.05293347043228165,0.09722880608361234,0.32577443240217396,-0.005515818730179976,0.055484619120183536,0.9470665295677183,0.9445153808798165,0.5288546004245259,0.6144143795119908,0.440200199407765
iforest,107,source_heldout,16002,0.6401979647179119,5551,3,16,83052,0.06281735912076009,0.4523777560104,0.9994598487576521,0.06265024886290532,0.11790944911159022,0.05914729379045276,-0.005753353388402861,0.15789473684210525,0.9373497511370947,0.8421052631578947,0.15451864823396144,0.9994902125815319,0.00012927663636743875
iforest,107,target,16002,0.6401979647179119,19,5976,471760,738134,0.3880115701351028,0.49375836956704094,0.00316930775646372,2.5739921127462736e-05,5.106511070378473e-05,0.2795654791076175,-0.0870416209172982,0.012509000787045565,0.9999742600788726,0.9874909992129545,0.46916021054337154,0.5868831941589928,0.3906255862159896
autoencoder,107,source_heldout,16002,3.241868734359741,40,14,5,88563,0.0005077745932161314,0.1318046733596403,0.7407407407407407,0.00045145198243851787,0.0009023540160393427,0.0005076186981096394,-0.436891889654244,0.7368421052631579,0.9995485480175614,0.2631578947368421,0.11387668351493387,0.9986345129650588,0.0001235796195653987
autoencoder,107,target,16002,3.241868734359741,1211,32984,444752,736942,0.36677936884041223,0.4662991325151756,0.03541453428863869,0.0016405812887030195,0.003135892110810153,0.2695828668414581,-0.1991152097213474,0.06904231625835189,0.998359418711297,0.9309576837416481,0.4378843591643893,0.5708121545995459,0.3565116913300047
iforest,108,source_heldout,12108,0.6367294215053986,5487,43,3915,92760,0.09199158553886796,0.5224924803971271,0.9922242314647378,0.05584903355827659,0.10574597454156509,0.0917767266008234,0.03836588619386226,0.010864072764022233,0.9441509664417234,0.9891359272359778,0.8080431932360433,0.9859973494566585,0.6102452573808402
iforest,108,target,12108,0.6367294215053986,1,9375,468361,738152,0.3852012807090121,0.49018877288353485,0.00010665529010238908,1.3547326909190912e-06,2.675481486336985e-06,0.27808432903241087,-0.1095584051754901,0.01962380896562118,0.9999986452673091,0.9803761910343788,0.4687218754490605,0.5969824627211441,0.3918232510821759
autoencoder,108,source_heldout,12108,0.09919236600399017,3656,52,3906,94591,0.07398855241915757,0.5120371918621767,0.9859762675296656,0.037212332183170986,0.07171791476631847,0.07398301184609418,0.02484113060360557,0.013137948458817585,0.962787667816829,0.9868620515411825,0.6492121403102913,0.9763444294945007,0.09263041982336122
autoencoder,108,target,12108,0.09919236600399017,40042,30634,447102,698111,0.4006484144523061,0.4950614624660731,0.566557247156036,0.054246206409782255,0.0990122757715166,0.3249935376746611,-0.020616570234455168,0.06412328147763618,0.9457537935902177,0.9358767185223639,0.4877641446140778,0.5856548906699248,0.40626280123114955
iforest,109,source_heldout,10969,0.6277149905713997,11983,159,5008,94989,0.15151731333434398,0.5406238797987114,0.986904957997035,0.11201996784205212,0.20120220964790034,0.14822196367298596,0.05481849182857927,0.030772208244629378,0.8879800321579479,0.9692277917553707,0.7621048354658623,0.977562378912841,0.501953861890042
iforest,109,target,10969,0.6277149905713997,36,14181,463555,738117,0.3812774027892349,0.48518250599155793,0.0025321797847647183,4.8770376873087285e-05,9.56975955979106e-05,0.27607070923433374,-0.13464027263778794,0.029683758393757222,0.9999512296231269,0.9703162416062427,0.46990818685454105,0.598051897883322,0.3952938807844262
