model,split_seed,domain,group,tau,tp,fp,fn,tn
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.3,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.35,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.4,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.45,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.5,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.55,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.6,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.65,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.7,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.75,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.8,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.85,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.9,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.95,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.975,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.99,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.995,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.999,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.05,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.1,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.15,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.2,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.25,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.3,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.35,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.4,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.45,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.5,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.55,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.6,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.65,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.7,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.75,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.8,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.85,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.9,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.95,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.975,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.99,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.995,1,0,0,0
stratified,109,source_heldout,fe80::f5f0:e360:968e:40a9,0.999,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.05,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.1,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.15,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.2,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.25,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.3,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.35,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.4,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.45,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.5,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.55,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.6,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.65,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.7,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.75,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.8,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.85,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.9,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.95,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.975,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.99,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.995,1,0,0,0
stratified,109,source_heldout,fe80::f690:4889:a949:7ea3,0.999,1,0,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.05,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.1,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.15,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.2,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.25,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.3,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.35,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.4,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.45,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.5,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.55,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.6,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.65,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.7,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.75,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.8,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.85,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.9,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.95,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.975,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.99,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.995,0,4,0,0
stratified,109,source_heldout,fe80::f8da:a3ff:fe16:6210,0.999,0,4,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.05,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.1,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.15,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.2,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.25,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.3,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.35,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.4,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.45,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.5,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.55,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.6,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.65,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.7,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.75,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.8,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.85,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.9,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.95,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.975,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.99,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.995,2,0,0,0
stratified,109,source_heldout,fe80::fc86:bcff:fe32:3ee6,0.999,2,0,0,0
stratified,109,target,003a-pfcp.csv,0.05,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.1,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.15,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.2,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.25,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.3,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.35,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.4,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.45,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.5,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.55,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.6,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.65,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.7,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.75,97,13305,6,836
stratified,109,target,003a-pfcp.csv,0.8,97,13305,6,836
