model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
rf,105,target,210803,39425,0.9240570580115084,0.5,839,31723,6863,0,0.1953582752060875,0.5889312185766858,0.025766230575517475,1.0,0.050238016825843536,0.1761234309524716,0.06769671015948457,0.8221375628466283,0.0,0.1778624371533717,0.8958775089151197,0.3727193423890895,0.9972041035771811,0.5632112480521372
xgboost,105,source_heldout,210803,89197,0.9240570580115084,0.5,71989,23,76,17109,0.8079307600031391,0.7878261276710176,0.9996806087874243,0.8079754876652675,0.8936627149152753,0.45122848775155106,0.04859981106330313,0.23232323232323232,0.19202451233473256,0.7676767676767676,0.9271370351248687,0.9999101981492802,0.043532952554086735,0.09773148596286774
xgboost,105,target,210803,39425,0.9240570580115084,0.5,837,29491,9095,2,0.25192136968928347,0.6166617305541104,0.027598259034555525,0.9976162097735399,0.05371065550101069,0.2175941654914193,0.07992511824145743,0.764292748665319,0.0023837902264600714,0.23570725133468098,0.9663419983422322,0.4065368605672546,0.9991424288880955,0.6024678945541382
hgb,105,source_heldout,210803,89197,0.9240570580115084,0.5,71251,24,75,17847,0.7996457279953362,0.7786341155159759,0.9996632760434935,0.7996924734561943,0.8885660304415332,0.44844482644100964,0.046307785278383994,0.24242424242424243,0.2003075265438057,0.7575757575757576,0.8182061359742117,0.9997776550155647,0.0036679909860018577,0.17123888808308105
hgb,105,target,210803,39425,0.9240570580115084,0.5,836,29670,8916,3,0.2473557387444515,0.6137462888804581,0.027404445027207763,0.9964243146603099,0.05334184080395597,0.21435642719073708,0.07847157642278862,0.7689317368993935,0.003575685339690107,0.23106826310060644,0.9710539316939631,0.4126938885024861,0.9992084800138259,0.46208562905963224
mlp,105,source_heldout,210803,89197,0.9240570580115084,0.5,87377,16,83,1721,0.9805262508828773,0.9095340144129118,0.999816918975204,0.9806841904419852,0.990158138375328,0.5386944133810428,0.19373806537009136,0.16161616161616163,0.01931580955801477,0.8383838383838383,0.9101148638736463,0.9993215732659189,0.09653471494447251,0.02130243554711342
mlp,105,target,210803,39425,0.9240570580115084,0.5,671,5906,32680,168,0.8459353202282816,0.8233504626941401,0.10202219857077695,0.799761620977354,0.18096008629989213,0.5479652742723808,0.25034040808600533,0.15306069558907376,0.20023837902264602,0.8469393044109262,0.9398465647405758,0.3027725178895085,0.99839247638174,0.14508096873760223
majority,106,source_heldout,212205,87795,0.9401003746377323,0.5,84344,3451,0,0,0.9606925223532092,0.5,0.9606925223532092,1.0,0.9799522478926914,0.4899761239463457,0.0,1.0,0.0,0.0,0.5,0.9606925223532092,0.03930747764679082,0.03930747764679082
majority,106,target,212205,39425,0.9401003746377323,0.5,839,38586,0,0,0.021280913126188968,0.5,0.021280913126188968,1.0,0.04167494536061991,0.020837472680309953,0.0,1.0,0.0,0.0,0.5,0.021280913126188968,0.978719086873811,0.978719086873811
stratified,106,source_heldout,212205,87795,0.9401003746377323,0.5,79262,3263,188,5082,0.9049490289879834,0.4971118572990526,0.9604604665252954,0.9397467513990325,0.9499907112765104,0.4965525165143015,-0.004725525875260608,0.9455230368009273,0.060253248600967466,0.054476963199072734,0.4971118572990526,0.960474448642784,0.03910951635111631,0.09505097101201664
