surface,model,tpr,fpr,corpus_precision,ppv_lo,ppv_hi,pi,lambda_b,ppv,npv,fdr,alerts_per_hour,true_alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,missed_attacks_per_hour
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.0033813238993148664,0.0037803008384930392,0.001,24000000.0,0.0035744310886856438,0.999739846663896,0.9964255689113144,5362886.080891911,19169.26673261956,5343716.814159292,128709265.94140586,22345.358670382964,4854.757291404466
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.006746565958034965,0.007539618286551627,0.002,24000.0,0.00713048685501192,0.9994793077097198,0.9928695131449881,5382.093762988725,38.37694882943274,5343.716814159292,129170.2503117294,22425.390679119686,9.719243555336796
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.006746565958034965,0.007539618286551627,0.002,240000.0,0.007130486855011921,0.9994793077097199,0.9928695131449881,53820.937629887245,383.76948829432746,53437.16814159292,1291702.5031172938,22425.390679119686,97.19243555336797
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.006746565958034965,0.007539618286551627,0.002,2400000.0,0.007130486855011919,0.9994793077097198,0.9928695131449881,538209.3762988725,3837.694882943274,534371.6814159292,12917025.03117294,22425.390679119686,971.9243555336797
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.006746565958034965,0.007539618286551627,0.002,24000000.0,0.007130486855011919,0.9994793077097198,0.9928695131449881,5382093.762988725,38376.94882943274,5343716.814159292,129170250.3117294,22425.390679119686,9719.243555336796
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.01674694026100306,0.018693402955581546,0.005,24000.0,0.017689808326278818,0.9986953685457898,0.9823101916737211,5439.948459716513,96.2316455572208,5343.716814159292,130558.7630331963,22666.451915485468,24.37136951815609
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.01674694026100306,0.018693402955581546,0.005,240000.0,0.017689808326278818,0.9986953685457898,0.9823101916737211,54399.48459716513,962.3164555722079,53437.16814159292,1305587.630331963,22666.451915485468,243.71369518156087
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.01674694026100306,0.018693402955581546,0.005,2400000.0,0.017689808326278818,0.9986953685457898,0.9823101916737211,543994.8459716513,9623.16455572208,534371.6814159292,13055876.30331963,22666.451915485468,2437.136951815609
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.01674694026100306,0.018693402955581546,0.005,24000000.0,0.017689808326278818,0.9986953685457898,0.9823101916737211,5439948.459716513,96231.64555722079,5343716.814159292,130558763.0331963,22666.451915485468,24371.369518156087
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.03310306670587555,0.03687926556534186,0.01,24000.0,0.03493408217332748,0.9973810103256858,0.9650659178266725,5537.152142097544,193.4353279382519,5343.716814159292,132891.65141034106,23071.467258739765,48.98891448599052
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.03310306670587555,0.03687926556534186,0.01,240000.0,0.03493408217332749,0.9973810103256858,0.9650659178266725,55371.52142097544,1934.3532793825193,53437.16814159292,1328916.5141034105,23071.467258739765,489.88914485990523
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.03310306670587555,0.03687926556534186,0.01,2400000.0,0.03493408217332748,0.9973810103256859,0.9650659178266725,553715.2142097544,19343.53279382519,534371.6814159292,13289165.141034104,23071.467258739765,4898.891448599053
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.03310306670587555,0.03687926556534186,0.01,24000000.0,0.03493408217332748,0.9973810103256859,0.9650659178266725,5537152.142097544,193435.3279382519,5343716.814159292,132891651.41034105,23071.467258739765,48988.91448599052
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.1513842601534402,0.16633214263867943,0.05,24000.0,0.15868398823165034,0.9865025264084295,0.8413160117683497,6351.61668078492,1007.8998666256283,5343.716814159292,152438.80033883807,26465.0695032705,255.25802811121375
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.1513842601534402,0.16633214263867943,0.05,240000.0,0.15868398823165034,0.9865025264084295,0.8413160117683497,63516.16680784921,10078.998666256284,53437.16814159292,1524388.003388381,26465.0695032705,2552.580281112138
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.1513842601534402,0.16633214263867943,0.05,2400000.0,0.15868398823165034,0.9865025264084295,0.8413160117683497,635161.668078492,100789.98666256283,534371.6814159292,15243880.03388381,26465.0695032705,25525.802811121375
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.1513842601534402,0.16633214263867943,0.05,24000000.0,0.15868398823165036,0.9865025264084296,0.8413160117683496,6351616.68078492,1007899.8666256284,5343716.814159292,152438800.3388381,26465.0695032705,255258.0281112138
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.27357276040023587,0.2963720761820609,0.1,24000.0,0.28478713288536545,0.9719263593328228,0.7152128671146345,7471.505421480063,2127.788607320771,5343.716814159292,179316.13011552152,31131.27258950026,538.8780593458957
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.27357276040023587,0.2963720761820609,0.1,240000.0,0.28478713288536545,0.9719263593328227,0.7152128671146345,74715.05421480062,21277.88607320771,53437.16814159292,1793161.301155215,31131.27258950026,5388.780593458957
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.27357276040023587,0.2963720761820609,0.1,2400000.0,0.2847871328853654,0.9719263593328227,0.7152128671146346,747150.5421480064,212778.8607320771,534371.6814159292,17931613.011552155,31131.27258950026,53887.805934589574
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.27357276040023587,0.2963720761820609,0.1,24000000.0,0.2847871328853654,0.9719263593328227,0.7152128671146346,7471505.421480062,2127788.6073207706,5343716.814159292,179316130.1155215,31131.27258950026,538878.0593458957
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.4586842987119408,0.48657727492060177,0.2,24000.0,0.4725506264350468,0.9389757737485701,0.5274493735649532,10131.241180631027,4787.5243664717345,5343.716814159292,243149.78833514464,42213.50491929594,1212.4756335282655
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.4586842987119408,0.48657727492060177,0.2,240000.0,0.4725506264350468,0.9389757737485702,0.5274493735649532,101312.41180631027,47875.243664717345,53437.16814159292,2431497.883351446,42213.50491929594,12124.756335282655
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.4586842987119408,0.48657727492060177,0.2,2400000.0,0.4725506264350468,0.9389757737485701,0.5274493735649532,1013124.1180631027,478752.4366471735,534371.6814159292,24314978.833514467,42213.50491929594,121247.56335282653
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.4586842987119408,0.48657727492060177,0.2,24000000.0,0.4725506264350468,0.9389757737485701,0.5274493735649532,10131241.180631027,4787524.366471735,5343716.814159292,243149788.33514464,42213.50491929594,1212475.6335282654
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.7721785983096581,0.7912688204824455,0.5,24000.0,0.7818340274379999,0.7936754779404253,0.2181659725620001,24493.81428004623,19150.097465886938,5343.716814159292,587851.5427211095,102057.55950019261,4849.902534113062
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.7721785983096581,0.7912688204824455,0.5,240000.0,0.7818340274379999,0.7936754779404253,0.2181659725620001,244938.14280046232,191500.97465886938,53437.16814159292,5878515.427211096,102057.55950019261,48499.02534113062
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.7721785983096581,0.7912688204824455,0.5,2400000.0,0.7818340274379998,0.7936754779404253,0.2181659725620002,2449381.4280046234,1915009.746588694,534371.6814159292,58785154.27211096,102057.55950019261,484990.2534113061
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.7721785983096581,0.7912688204824455,0.5,24000000.0,0.7818340274379999,0.7936754779404254,0.2181659725620001,24493814.280046232,19150097.46588694,5343716.814159292,587851542.7211096,102057.55950019261,4849902.534113062
d_a_radio_heldout,majority,1.0,1.0,0.7657588177641612,9.997920501916882e-05,0.00010006798611643938,0.0001,24000.0,0.0001,,0.9999,24002.400240024002,2.4002400240024,24000.0,576057.6057605761,100010.0010001,0.0
d_a_radio_heldout,majority,1.0,1.0,0.7657588177641612,9.997920501916882e-05,0.00010006798611643938,0.0001,240000.0,0.0001,,0.9999,240024.00240024002,24.002400240024002,240000.0,5760576.05760576,100010.0010001,0.0
d_a_radio_heldout,majority,1.0,1.0,0.7657588177641612,9.997920501916882e-05,0.00010006798611643938,0.0001,2400000.0,0.0001,,0.9999,2400240.0240024,240.02400240024002,2400000.0,57605760.576057605,100010.0010001,0.0
d_a_radio_heldout,majority,1.0,1.0,0.7657588177641612,9.997920501916882e-05,0.00010006798611643938,0.0001,24000000.0,9.999999999999999e-05,,0.9999,24002400.240024004,2400.2400240024003,24000000.0,576057605.7605761,100010.0010001,0.0
d_a_radio_heldout,majority,1.0,1.0,0.7657588177641612,0.0004998960666813191,0.0005003397945039508,0.0005,24000.0,0.0005,,0.9995,24012.0060030015,12.00600300150075,24000.0,576288.144072036,100050.02501250626,0.0
d_a_radio_heldout,majority,1.0,1.0,0.7657588177641612,0.0004998960666813191,0.0005003397945039508,0.0005,240000.0,0.0005,,0.9995,240120.060030015,120.0600300150075,240000.0,5762881.440720361,100050.02501250626,0.0
d_a_radio_heldout,majority,1.0,1.0,0.7657588177641612,0.0004998960666813191,0.0005003397945039508,0.0005,2400000.0,0.0004999999999999999,,0.9995,2401200.60030015,1200.6003001500749,2400000.0,57628814.4072036,100050.02501250626,0.0
