model,split_seed,domain,group,tau,tp,fp,fn,tn
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.75,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.8,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.85,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.9,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.95,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.975,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.99,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.995,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.999,16,5,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.05,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.1,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.15,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.2,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.25,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.3,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.35,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.4,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.45,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.5,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.55,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.6,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.65,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.7,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.75,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.8,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.85,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.9,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.95,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.975,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.99,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.995,2,0,0,0
stratified,106,source_heldout,fe80::3e98:b412:9904:d330,0.999,2,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.05,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.1,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.15,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.2,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.25,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.3,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.35,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.4,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.45,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.5,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.55,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.6,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.65,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.7,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.75,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.8,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.85,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.9,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.95,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.975,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.99,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.995,1,0,0,0
stratified,106,source_heldout,fe80::3f9b:9a2d:9ac6:81e8,0.999,1,0,0,0
stratified,106,source_heldout,fe80::408:9cff:fe0f:541,0.05,0,2,0,0
stratified,106,source_heldout,fe80::408:9cff:fe0f:541,0.1,0,2,0,0
stratified,106,source_heldout,fe80::408:9cff:fe0f:541,0.15,0,2,0,0
stratified,106,source_heldout,fe80::408:9cff:fe0f:541,0.2,0,2,0,0
stratified,106,source_heldout,fe80::408:9cff:fe0f:541,0.25,0,2,0,0
stratified,106,source_heldout,fe80::408:9cff:fe0f:541,0.3,0,2,0,0
stratified,106,source_heldout,fe80::408:9cff:fe0f:541,0.35,0,2,0,0
