layer,protocol,model,split_seed,model_seed,status,n_train,n_test,train_prevalence,test_prevalence,n_train_groups,n_test_groups,fit_seconds,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
network,random,mlp,103,22,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,369.09,0.5,56681,1279,1929,111,0.9768333333333333,0.7996773631493881,0.9779330572808834,0.9980454993661079,0.9878869213608478,0.8615120582413995,0.7439871313015983,0.3986907730673317,0.0019545006338920973,0.6013092269326683,0.9913550583061292,0.9994657290236674,0.8896028924671936,0.015107963234186172
network,random,majority,104,11,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,0.11,0.5,56827,3173,0,0,0.9471166666666667,0.5,0.9471166666666667,1.0,0.972840182492061,0.4864200912460305,0.0,1.0,0.0,0.0,0.5,0.9471166666666667,0.05288333333333333,0.05288333333333333
network,random,majority,104,22,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,0.12,0.5,56827,3173,0,0,0.9471166666666667,0.5,0.9471166666666667,1.0,0.972840182492061,0.4864200912460305,0.0,1.0,0.0,0.0,0.5,0.9471166666666667,0.05288333333333333,0.05288333333333333
network,random,stratified,104,11,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,0.13,0.5,53780,2988,185,3047,0.8994166666666666,0.5023427826970054,0.9473647125140925,0.9463811216499199,0.9468726616488402,0.5023200154458096,0.004645012973368891,0.9416955562559093,0.05361887835008007,0.058304443744090766,0.5023427826970054,0.947351412573974,0.053137352132628955,0.10058333333333333
network,random,stratified,104,22,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,0.12,0.5,53709,2998,175,3118,0.8980666666666667,0.5001422838740508,0.9471317474033188,0.9451317155577454,0.9461306745116,0.5001299830955773,0.0002796300732591138,0.9448471478096439,0.05486828444225456,0.05515285219035613,0.5001422838740508,0.9471309199491706,0.05289765638221854,0.10193333333333333
network,random,logreg,104,11,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,3.38,0.5,53478,177,2996,3349,0.9412333333333334,0.9426417879699247,0.9967011462119094,0.9410667464409523,0.968085298962727,0.7988146604080288,0.6442788800663602,0.055783170501103055,0.05893325355904763,0.944216829498897,0.9825023999641156,0.9989805187516813,0.815720282423381,0.05050227623187666
network,random,logreg,104,22,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,3.38,0.5,53478,177,2996,3349,0.9412333333333334,0.9426417879699247,0.9967011462119094,0.9410667464409523,0.968085298962727,0.7988146604080288,0.6442788800663602,0.055783170501103055,0.05893325355904763,0.944216829498897,0.9825023999641156,0.9989805187516813,0.815720282423381,0.05050227623187666
network,random,tree,104,11,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,2.14,0.5,54739,42,3131,2088,0.9645,0.9750101090015211,0.9992333108194447,0.9632569025287275,0.9809153465701383,0.8635510955920283,0.7544607002001453,0.013236684525685471,0.03674309747127246,0.9867633154743145,0.9870312259904108,0.9988444246047714,0.8728839496958234,0.0289683538197837
network,random,tree,104,22,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,1.96,0.5,54738,42,3131,2089,0.9644833333333334,0.9750013103670692,0.9992332968236582,0.9632393052598237,0.9809062155599559,0.8635020771592226,0.7543813422761806,0.013236684525685471,0.036760694740176326,0.9867633154743145,0.9870140308021862,0.9988434855325329,0.8722069976712564,0.028985020486450373
network,random,rf,104,11,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,18.29,0.5,55751,279,2894,1076,0.9774166666666667,0.9465679671551218,0.9950205247189006,0.98106533865944,0.9879936556881718,0.8991487248061467,0.8041265457250848,0.08792940434919634,0.018934661340559947,0.9120705956508036,0.995292869216726,0.9997374369437237,0.9292921135900655,0.01491596729050082
network,random,rf,104,22,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,16.81,0.5,55752,294,2879,1075,0.9771833333333333,0.9442130721242727,0.9947543089604968,0.981082935928344,0.9878713244088488,0.8978924462650391,0.8013884656652782,0.0926567916797983,0.018917064071656078,0.9073432083202017,0.9953010439328822,0.9997380155914324,0.9290009433664586,0.014969463666425804
network,random,xgboost,104,11,ok,240000,60000,0.9463083333333333,0.9471166666666667,133,67,6.75,0.5,54879,27,3146,1948,0.9670833333333333,0.9786056114900926,0.9995082504644301,0.9657205201752688,0.982323932947294,0.8717111378780259,0.7685653653782244,0.008509297195083518,0.0342794798247312,0.9914907028049165,0.9949298707794223,0.9997163777386981,0.9249349513096169,0.025821352377533913
