layer,protocol,model,split_seed,model_seed,status,n_train,n_test,train_prevalence,test_prevalence,n_train_groups,n_test_groups,fit_seconds,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
radio,random,logreg,102,11,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,0.12,0.5,383,15,104,60,0.8665480427046264,0.8692546996225127,0.9623115577889447,0.8645598194130926,0.9108204518430439,0.8229013919992605,0.6636940295435916,0.12605042016806722,0.13544018058690746,0.8739495798319328,0.9436993759128933,0.9825793068770518,0.8757810208077272,0.09453564324617184
radio,random,logreg,102,22,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,0.1,0.5,383,15,104,60,0.8665480427046264,0.8692546996225127,0.9623115577889447,0.8645598194130926,0.9108204518430439,0.8229013919992605,0.6636940295435916,0.12605042016806722,0.13544018058690746,0.8739495798319328,0.9436993759128933,0.9825793068770518,0.8757810208077272,0.09453564324617184
radio,random,tree,102,11,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,0.15,0.5,423,9,110,20,0.9483985765124555,0.9396115105184286,0.9791666666666666,0.9548532731376975,0.9668571428571429,0.9251956397016639,0.8518455227362175,0.07563025210084033,0.045146726862302484,0.9243697478991597,0.9344898230172431,0.9677942810172551,0.7981732523285799,0.051720484909832026
radio,random,tree,102,22,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,0.14,0.5,424,9,110,19,0.9501779359430605,0.9407401786899862,0.9792147806004619,0.9571106094808126,0.9680365296803652,0.9275666519369568,0.8563458147974957,0.07563025210084033,0.04288939051918736,0.9243697478991597,0.9356184911888006,0.9682774567502789,0.804236500525891,0.04994112547922705
radio,random,rf,102,11,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,1.42,0.5,442,9,110,1,0.9822064056939501,0.9610562057780223,0.9800443458980045,0.9977426636568849,0.9888143176733781,0.9726680284019065,0.9462577535771359,0.07563025210084033,0.002257336343115124,0.9243697478991597,0.9972115256937989,0.9992257727170915,0.9917971090561792,0.01860457410535776
radio,random,rf,102,22,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,1.49,0.5,442,10,109,1,0.9804270462633452,0.9568545251057534,0.9778761061946902,0.9977426636568849,0.9877094972067039,0.9698372813544436,0.9408441966152861,0.08403361344537816,0.002257336343115124,0.9159663865546218,0.9973253409716032,0.9992545001654658,0.9922662621214732,0.018489402448979165
radio,random,xgboost,102,11,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,2.57,0.5,441,8,111,2,0.9822064056939501,0.9641292182787335,0.9821826280623608,0.9954853273137697,0.9887892376681614,0.9728428946961496,0.946197631512385,0.06722689075630252,0.004514672686230248,0.9327731092436975,0.996889049073354,0.9991368847321105,0.990919748130062,0.013337540440261364
radio,random,xgboost,102,22,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,1.95,0.5,441,9,110,2,0.9804270462633452,0.9599275376064647,0.98,0.9954853273137697,0.9876819708846585,0.9700314616328054,0.9407613885692406,0.07563025210084033,0.004514672686230248,0.9243697478991597,0.9971166796289622,0.9991969047158582,0.9916925372339047,0.013143882155418396
radio,random,hgb,102,11,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,10.42,0.5,443,8,111,0,0.9857651245551602,0.9663865546218487,0.9822616407982262,1.0,0.9910514541387024,0.9781344227215252,0.9571975996512828,0.06722689075630252,0.0,0.9327731092436975,0.9985204013885463,0.9995990511975757,0.9951102781821117,0.01113961838375938
radio,random,hgb,102,22,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,5.34,0.5,443,8,111,0,0.9857651245551602,0.9663865546218487,0.9822616407982262,1.0,0.9910514541387024,0.9781344227215252,0.9571975996512828,0.06722689075630252,0.0,0.9327731092436975,0.9985204013885463,0.9995990511975757,0.9951102781821117,0.01113961838375938
radio,random,mlp,102,11,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,1.75,0.5,441,10,109,2,0.9786476868327402,0.9557258569341958,0.9778270509977827,0.9954853273137697,0.9865771812080537,0.9672016340822878,0.9353179075029892,0.08403361344537816,0.004514672686230248,0.9159663865546218,0.9923554071741563,0.9977492652954953,0.9818041315243573,0.02061602659523487
radio,random,mlp,102,22,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,1.6,0.5,437,11,108,6,0.9697508896797153,0.9470095035756967,0.9754464285714286,0.9864559819413092,0.9809203142536476,0.9539794704315447,0.90830282155538,0.09243697478991597,0.013544018058690745,0.907563025210084,0.9935884060170344,0.9982038378527245,0.9820021466499486,0.022312510758638382
radio,random,majority,103,11,ok,2246,562,0.7711487088156723,0.7384341637010676,30,29,0.04,0.5,415,147,0,0,0.7384341637010676,0.5,0.7384341637010676,1.0,0.849539406345957,0.4247697031729785,0.0,1.0,0.0,0.0,0.5,0.7384341637010676,0.2615658362989324,0.2615658362989324
radio,random,majority,103,22,ok,2246,562,0.7711487088156723,0.7384341637010676,30,29,0.04,0.5,415,147,0,0,0.7384341637010676,0.5,0.7384341637010676,1.0,0.849539406345957,0.4247697031729785,0.0,1.0,0.0,0.0,0.5,0.7384341637010676,0.2615658362989324,0.2615658362989324
radio,random,stratified,103,11,ok,2246,562,0.7711487088156723,0.7384341637010676,30,29,0.04,0.5,323,117,30,92,0.6281138790035588,0.49119744283255473,0.7340909090909091,0.7783132530120482,0.7555555555555555,0.48930194134655103,-0.01876788406689985,0.7959183673469388,0.2216867469879518,0.20408163265306123,0.49119744283255473,0.7350537510767756,0.2583690614102242,0.3718861209964413
