rung,feature_set,split,seed,model,n_train,n_test,test_prevalence,clean_n,clean_accuracy,clean_balanced_accuracy,clean_recall,clean_fpr,clean_tp,clean_fp,clean_tn,clean_fn,accuracy,balanced_accuracy,f1_macro,recall,fpr,roc_auc,tp,fp,tn,fn,fit_s,predict_s
R2,published_top10,fold2,11,nb,1064645,151245,0.6434923468544415,151245,0.9334325101656253,0.9204770860503635,0.965620344207552,0.12466617210682493,93979,6722,47198,3346,0.9334325101656253,0.9204770860503635,0.926390245927024,0.965620344207552,0.12466617210682493,0.9739826731918586,93979,6722,47198,3346,0.34,0.08
R2,published_top10,fold2,11,mlp,1064645,151245,0.6434923468544415,151245,0.9649641310456544,0.9683723958432582,0.9564962753660416,0.01975148367952522,93091,1065,52855,4234,0.9649641310456544,0.9683723958432582,0.9622956838397047,0.9564962753660416,0.01975148367952522,0.9817301138160938,93091,1065,52855,4234,601.87,0.21
R2,no_position_top10,fold2,11,dt,1064645,151245,0.6434923468544415,151245,0.9985255710932592,0.9979527995161368,0.999948625738505,0.004043026706231454,97320,218,53702,5,0.9985255710932592,0.9979527995161368,0.9983918177292203,0.999948625738505,0.004043026706231454,0.9979367878395445,97320,218,53702,5,1.23,0.01
R2,no_position_top10,fold2,11,rf,1064645,151245,0.6434923468544415,151245,0.9998347052795133,0.9997888529285996,0.999948625738505,0.000370919881305638,97320,20,53900,5,0.9998347052795133,0.9997888529285996,0.9998198585334752,0.999948625738505,0.000370919881305638,0.9999776413344806,97320,20,53900,5,15.52,0.19
R2,no_position_top10,fold2,11,nb,1064645,151245,0.6434923468544415,151245,0.9572547852821581,0.9566461201380245,0.9587670177241202,0.04547477744807122,93312,2452,51468,4013,0.9572547852821581,0.9566461201380245,0.9537117533647235,0.9587670177241202,0.04547477744807122,0.9736683419833667,93312,2452,51468,4013,0.4,0.07
R2,no_position_top10,fold2,11,mlp,1064645,151245,0.6434923468544415,151245,0.9993784918509703,0.9993847436736865,0.9993629591574621,0.0005934718100890207,97263,32,53888,62,0.9993784918509703,0.9993847436736865,0.9993227941003939,0.9993629591574621,0.0005934718100890207,0.9999849401573697,97263,32,53888,62,426.7,0.2
R2,published_top10,fold3,11,dt,1057000,158890,0.6032852917112468,158890,0.9904147523443892,0.9912572675935458,0.9871786846937072,0.004664149506615477,94627,294,62740,1229,0.9904147523443892,0.9912572675935458,0.9900125073328045,0.9871786846937072,0.004664149506615477,0.9912572675935459,94627,294,62740,1229,7.57,0.02
R2,published_top10,fold3,11,rf,1057000,158890,0.6032852917112468,158890,0.9965133110957266,0.996265551097373,0.9974649474211317,0.00493384522638576,95613,311,62723,243,0.9965133110957266,0.996265551097373,0.9963572239686016,0.9974649474211317,0.00493384522638576,0.9982219881948231,95613,311,62723,243,28.67,0.18
R2,published_top10,fold3,11,nb,1057000,158890,0.6032852917112468,158890,0.8799106299955944,0.8812515897554701,0.8747600567517944,0.11225687724085415,83851,7076,55958,12005,0.8799106299955944,0.8812515897554701,0.8760920989684018,0.8747600567517944,0.11225687724085415,0.970833978083311,83851,7076,55958,12005,0.42,0.07
R2,published_top10,fold3,11,mlp,1057000,158890,0.6032852917112468,158890,0.9641764742903896,0.9663360214606158,0.9558817392755801,0.02320969635434845,91627,1463,61571,4229,0.9641764742903896,0.9663360214606158,0.9628470534049695,0.9558817392755801,0.02320969635434845,0.9901309702970761,91627,1463,61571,4229,447.51,0.2
R2,no_position_top10,fold3,11,dt,1057000,158890,0.6032852917112468,158890,0.9981433696267858,0.9977469072430764,0.99966616591554,0.004172351429387315,95824,263,62771,32,0.9981433696267858,0.9977469072430764,0.9980593914225095,0.99966616591554,0.004172351429387315,0.9983971327214298,95824,263,62771,32,1.57,0.01
R2,no_position_top10,fold3,11,rf,1057000,158890,0.6032852917112468,158890,0.997614701995091,0.9975504801911543,0.9978613753964279,0.002760415014119364,95651,174,62860,205,0.997614701995091,0.9975504801911543,0.9975085907871702,0.9978613753964279,0.002760415014119364,0.9996033675457661,95651,174,62860,205,15.8,0.15
R2,no_position_top10,fold3,11,nb,1057000,158890,0.6032852917112468,158890,0.901762225438983,0.9125404579659306,0.8603634618594559,0.03528254592759463,82471,2224,60810,13385,0.901762225438983,0.9125404579659306,0.899901896578855,0.8603634618594559,0.03528254592759463,0.9778234213549438,82471,2224,60810,13385,0.4,0.08
R2,no_position_top10,fold3,11,mlp,1057000,158890,0.6032852917112468,158890,0.9942287116873308,0.9936278828614044,0.9965364713737273,0.009280705650918552,95524,585,62449,332,0.9942287116873308,0.9936278828614044,0.9939673042129187,0.9965364713737273,0.009280705650918552,0.9986701431349784,95524,585,62449,332,594.48,0.25
