direction,model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
a_to_b,rf,111,0.6320478255773063,477736,0.588103531177802,682152,0.009553400832127999,56001
a_to_b,xgboost,111,0.700596145151297,477736,0.38540530556239666,682152,0.002982089605542758,56001
a_to_b,hgb,111,0.6909506505685148,477736,0.506230282986783,682152,0.0035535079730719095,56001
a_to_b,mlp,111,0.06334670194417,477736,0.9407155589956491,682152,0.645827753075838,56001
a_to_b,majority,112,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,112,0.062080312138921914,477736,0.9381867970774842,682152,0.9363582793164408,56001
a_to_b,logreg,112,0.9879075472645981,477736,0.2345503641417162,682152,0.004267780932483349,56001
a_to_b,tree,112,0.3452764706867391,477736,0.8712926151356296,682152,0.283048516990768,56001
a_to_b,rf,112,0.3208110755731199,477736,0.8944546083570817,682152,0.28465563114944376,56001
a_to_b,xgboost,112,0.5666141969623391,477736,0.7030969637265595,682152,0.2792807271298727,56001
a_to_b,hgb,112,0.38402381231475125,477736,0.8005913638016161,682152,0.2805664184568133,56001
a_to_b,mlp,112,0.055683473717701826,477736,0.8976987533570231,682152,1.0,56001
a_to_b,majority,113,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,113,0.07531774871477134,477736,0.9248070811197504,682152,0.9229120908555204,56001
a_to_b,logreg,113,0.9772049835055344,477736,0.2579645005805158,682152,0.7160943554579382,56001
a_to_b,tree,113,0.361258100708341,477736,0.7685354583729139,682152,0.6362386385957394,56001
a_to_b,rf,113,0.31944839827854715,477736,0.8113045186410067,682152,0.2828163782789593,56001
a_to_b,xgboost,113,0.405832928646784,477736,0.7316815020699199,682152,0.2777271834431528,56001
a_to_b,hgb,113,0.3874064336788519,477736,0.7542585816650834,682152,0.27845931322654954,56001
a_to_b,mlp,113,0.047352512684830116,477736,0.9525457669258465,682152,1.0,56001
a_to_b,majority,114,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,114,0.06273548570758745,477736,0.9374860734850884,682152,0.9356440063570294,56001
a_to_b,logreg,114,0.9764221243531993,477736,0.25808764029131337,682152,0.7159872145140266,56001
a_to_b,tree,114,0.1281209705778924,477736,0.8337350033423636,682152,0.6338279673577257,56001
a_to_b,rf,114,0.3362819632600432,477736,0.8982646096471167,682152,0.28458420385350264,56001
a_to_b,xgboost,114,0.405876885978867,477736,0.7941353246783708,682152,0.27879859288226994,56001
a_to_b,hgb,114,0.4041374315521543,477736,0.807082585699375,682152,0.27992357279334296,56001
