direction,model,split_seed,benign,benign__n,bruteforce,bruteforce__n,ddos,ddos__n,dos,dos__n,probe,probe__n,web,web__n
b_to_a,tree,108,0.8036253776435045,88046,0.4534411538192257,28566,0.4363379825926402,420282,0.4395935539053323,632507,0.4404805420828946,183293,0.19607774933214603,287488
b_to_a,rf,108,0.8767462462803535,88046,0.35668276972624796,28566,0.4869373420703242,420282,0.4067464866001483,632507,0.7869094837227827,183293,0.004984555877114871,287488
b_to_a,xgboost,108,0.8766894577834314,88046,0.40513197507526433,28566,0.860179593701372,420282,0.749179060468896,632507,0.8895156934525595,183293,0.12271816562778272,287488
b_to_a,hgb,108,0.8792562978443087,88046,0.29727648253168104,28566,0.887577864386293,420282,0.7504059243613114,632507,0.9177164430720213,183293,0.0039375556544968835,287488
b_to_a,mlp,108,0.8188674102173864,88046,0.4832318140446685,28566,0.9317363103820768,420282,0.8718306674866839,632507,0.8897448347727409,183293,0.006184605966162066,287488
b_to_a,majority,109,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,109,0.3906480703268746,88046,0.603584681089407,28566,0.608788860812502,420282,0.6086936587263065,632507,0.6101760569143393,183293,0.6092115149154052,287488
b_to_a,logreg,109,0.6820298480339823,88046,0.5920674928236365,28566,0.9635696984405708,420282,0.8704599316687405,632507,0.924574315440306,183293,0.29918118321460374,287488
b_to_a,tree,109,0.7780251232310383,88046,0.4986697472519779,28566,0.858195211786372,420282,0.6212010301862272,632507,0.8928273311037519,183293,0.19782043076580588,287488
b_to_a,rf,109,0.9158735206596552,88046,0.24889729048519219,28566,0.4026058693924555,420282,0.3570553369369825,632507,0.42978182472871307,183293,0.004254090605520926,287488
b_to_a,xgboost,109,0.9016763964291393,88046,0.15105370020303857,28566,0.795651491141662,420282,0.6676131647554888,632507,0.8545552748877481,183293,0.004184522484416741,287488
b_to_a,hgb,109,0.8850032937328215,88046,0.35307708464608273,28566,0.831422711417572,420282,0.6742470834314878,632507,0.8611021697500723,183293,0.004633236865538736,287488
b_to_a,mlp,109,0.8714081275696794,88046,0.4582020583910943,28566,0.9062224887099614,420282,0.7732752364795963,632507,0.9175582264461818,183293,0.004379313223508459,287488
b_to_a,majority,110,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,110,0.39169297867024055,88046,0.6028495414128684,28566,0.6078394982416568,420282,0.6076912982781218,632507,0.6092594916336139,183293,0.6082758236865539,287488
b_to_a,logreg,110,0.680178543034323,88046,0.5981586501435273,28566,0.9642668494011164,420282,0.8815617850869635,632507,0.9249398504034524,183293,0.294015750222618,287488
b_to_a,tree,110,0.7797628512368535,88046,0.5184134985647273,28566,0.49409206199646905,420282,0.37323697603346684,632507,0.48776549022603155,183293,0.19102014692787178,287488
b_to_a,rf,110,0.8617540830929287,88046,0.35472239725547855,28566,0.7666328798283057,420282,0.6046162334962301,632507,0.9147048714353522,183293,0.00597590160284951,287488
b_to_a,xgboost,110,0.8909092974127161,88046,0.3591682419659735,28566,0.9037098900262205,420282,0.7639931257677781,632507,0.917143589771568,183293,0.004977599065004452,287488
b_to_a,hgb,110,0.862287894963996,88046,0.40194636981026394,28566,0.9254215027053264,420282,0.8536458885040007,632507,0.9187148445385257,183293,0.005273263579697239,287488
b_to_a,mlp,110,0.8542125707016787,88046,0.3870685430231744,28566,0.586208783626232,420282,0.5427291713767595,632507,0.48067302079184693,183293,0.0032070903829029386,287488
b_to_a,majority,111,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,111,0.3925448061240715,88046,0.6021844150388573,28566,0.6069591369604218,420282,0.6067569212672745,632507,0.6083974838100746,183293,0.6073436108637578,287488
