model,split_seed,tau,pi,lambda_b,alerts_per_hour,true_alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,ppv,npv,fdr,missed_attacks_per_hour,recall,fpr,precision_corpus
mlp,111,0.45,0.03,240000.0,15600.367821517091,7104.792600278152,8495.575221238938,374408.82771641016,6500.153258965454,0.45542468495382127,0.9986287436763948,0.5445753150461787,317.88781209298213,0.9571734475374732,0.035398230088495575,0.991130820399113
mlp,111,0.45,0.1,240000.0,34020.200488904884,25524.62526766595,8495.575221238938,816484.8117337172,14175.083537043705,0.7502785080878749,0.9950910864120838,0.24972149191212512,1142.0413990007135,0.9571734475374732,0.035398230088495575,0.991130820399113
mlp,111,0.5,0.0001,240000.0,2146.8168684939974,22.92306318426275,2123.8938053097345,51523.60484385594,894.5070285391655,0.010677698466354699,0.9999954626289471,0.9893223015336453,1.0793370557612507,0.9550321199143469,0.008849557522123894,0.9977628635346756
mlp,111,0.5,0.0003,240000.0,2192.676752827823,68.7829475180884,2123.8938053097345,52624.242067867744,913.6153136782596,0.03136939698447631,0.999986385287189,0.9686306030155237,3.238658963856181,0.9550321199143469,0.008849557522123894,0.9977628635346756
mlp,111,0.5,0.001,240000.0,2353.330951235103,229.4371459253686,2123.8938053097345,56479.942829642474,980.5545630146263,0.09749463661494474,0.999954587268601,0.9025053633850553,10.803094314871618,0.9550321199143469,0.008849557522123894,0.9977628635346756
mlp,111,0.5,0.002,240000.0,2583.227891040082,459.3340857303472,2123.8938053097345,61997.469384961965,1076.344954600034,0.17781400058568048,0.9999090876665754,0.8221859994143195,21.62783811734819,0.9550321199143469,0.008849557522123894,0.9977628635346756
mlp,111,0.5,0.003,240000.0,2813.5860082569056,689.6922029471713,2123.8938053097345,67526.06419816574,1172.3275034403773,0.24512924109060902,0.9998635009444204,0.754870758909391,32.47429655132421,0.9550321199143469,0.008849557522123894,0.9977628635346756
mlp,111,0.5,0.01,240000.0,4439.123186920273,2315.229381610538,2123.8938053097345,106538.95648608655,1849.6346612167802,0.5215510550444474,0.9995419333654926,0.47844894495555257,109.01304263188634,0.9550321199143469,0.008849557522123894,0.9977628635346756
mlp,111,0.5,0.03,240000.0,9212.792014983239,7088.8982096735035,2123.8938053097345,221107.00835959773,3838.6633395763483,0.7694625253825835,0.9985987894753521,0.23053747461741647,333.78220269763136,0.9550321199143469,0.008849557522123894,0.9977628635346756
mlp,111,0.5,0.1,240000.0,27591.41700302565,25467.523197715916,2123.8938053097345,662194.0080726156,11496.423751260687,0.9230233878500395,0.9949842425318478,0.07697661214996054,1199.1434689507496,0.9550321199143469,0.008849557522123894,0.9977628635346756
mlp,111,0.55,0.0001,240000.0,2146.3028984674443,22.409093157709776,2123.8938053097345,51511.269563218666,894.2928743614351,0.010440787818770066,0.9999933019905369,0.9895592121812299,1.593307082314226,0.9336188436830836,0.008849557522123894,0.9977116704805492
mlp,111,0.55,0.0003,240000.0,2191.134534273606,67.24072896387118,2123.8938053097345,52587.22882256654,912.9727226140024,0.030687631412902948,0.9999799022209103,0.969312368587097,4.780877518073406,0.9336188436830836,0.008849557522123894,0.9977116704805492
mlp,111,0.55,0.001,240000.0,2348.186620608974,224.2928152992393,2123.8938053097345,56356.47889461537,978.4110919204057,0.0955174573139641,0.9999329636080804,0.9044825426860359,15.947424941000945,0.9336188436830836,0.008849557522123894,0.9977116704805492
mlp,111,0.55,0.002,240000.0,2572.9289205080113,449.0351151982767,2123.8938053097345,61750.29409219227,1072.053716878338,0.17452293828218818,0.9998658018888796,0.8254770617178118,31.926808649418728,0.9336188436830836,0.008849557522123894,0.9977116704805492
mlp,111,0.55,0.003,240000.0,2798.12205751818,674.2282522084455,2123.8938053097345,67154.92938043633,1165.8841906325752,0.24095741298950282,0.999798514490612,0.7590425870104972,47.93824729004998,0.9336188436830836,0.008849557522123894,0.9977116704805492
mlp,111,0.55,0.01,240000.0,4387.212214238422,2263.318408928688,2123.8938053097345,105293.09314172214,1828.0050892660092,0.5158898859697805,0.9993239538605747,0.48411011403021953,160.92401531373682,0.9336188436830836,0.008849557522123894,0.9977116704805492
mlp,111,0.55,0.03,240000.0,9053.848108936747,6929.954303627012,2123.8938053097345,217292.3546144819,3772.4367120569777,0.76541534828563,0.9979329256095155,0.23458465171437004,492.72610874412203,0.9336188436830836,0.008849557522123894,0.9977116704805492
mlp,111,0.55,0.1,240000.0,27020.396303525293,24896.50249821556,2123.8938053097345,648489.511284607,11258.498459802207,0.9213966449103252,0.9926134290937693,0.07860335508967475,1770.1641684511048,0.9336188436830836,0.008849557522123894,0.9977116704805492
mlp,111,0.6000000000000001,0.0001,240000.0,22.049314139122693,22.049314139122693,0.0,529.1835393389447,9.187214224634456,1.0,0.9999918622074705,0.0,1.9530861009013094,0.9186295503211992,0.0,1.0
mlp,111,0.6000000000000001,0.0003,240000.0,66.16117597591912,66.16117597591912,0.0,1587.868223422059,27.567156656632964,1.0,0.9999755821358048,0.0,5.860430506025466,0.9186295503211992,0.0,1.0
mlp,111,0.6000000000000001,0.001,240000.0,220.69178386094876,220.69178386094876,0.0,5296.60281266277,91.95490994206199,1.0,0.9999185547322915,0.0,19.548456379291483,0.9186295503211992,0.0,1.0
mlp,111,0.6000000000000001,0.002,240000.0,441.82583582582726,441.82583582582726,0.0,10603.820059819855,184.09409826076137,1.0,0.9998369595530976,0.0,39.136088021868126,0.9186295503211992,0.0,1.0
mlp,111,0.6000000000000001,0.003,240000.0,663.4034866913374,663.4034866913374,0.0,15921.683680592098,276.4181194547239,1.0,0.9997552140481369,0.0,58.76301280715805,0.9186295503211992,0.0,1.0
